season,celebrity_name,ballroom_partner,results,placement,week,judge_id,score
1,Kelly Monaco,Alec Mazo,1st Place,1,4,2,9.0
1,Kelly Monaco,Alec Mazo,1st Place,1,4,3,8.0
1,Kelly Monaco,Alec Mazo,1st Place,1,4,4,
1,Kelly Monaco,Alec Mazo,1st Place,1,5,1,8.5
1,Kelly Monaco,Alec Mazo,1st Place,1,5,2,7.5
1,Kelly Monaco,Alec Mazo,1st Place,1,5,3,7.5
1,Kelly Monaco,Alec Mazo,1st Place,1,5,4,
1,Kelly Monaco,Alec Mazo,1st Place,1,6,1,8.5
1,Kelly Monaco,Alec Mazo,1st Place,1,6,2,9.5
1,Kelly Monaco,Alec Mazo,1st Place,1,6,3,9.5
1,Kelly Monaco,Alec Mazo,1st Place,1,6,4,
1,Kelly Monaco,Alec Mazo,1st Place,1,7,1,
1,Kelly Monaco,Alec Mazo,1st Place,1,7,2,
1,Kelly Monaco,Alec Mazo,1st Place,1,7,3,
1,Kelly Monaco,Alec Mazo,1st Place,1,7,4,
1,Kelly Monaco,Alec Mazo,1st Place,1,8,1,
1,Kelly Monaco,Alec Mazo,1st Place,1,8,2,
1,Kelly Monaco,Alec Mazo,1st Place,1,8,3,
1,Kelly Monaco,Alec Mazo,1st Place,1,8,4,
1,Kelly Monaco,Alec Mazo,1st Place,1,9,1,
1,Kelly Monaco,Alec Mazo,1st Place,1,9,2,
1,Kelly Monaco,Alec Mazo,1st Place,1,9,3,
1,Kelly Monaco,Alec Mazo,1st Place,1,9,4,
1,Kelly Monaco,Alec Mazo,1st Place,1,10,1,
1,Kelly Monaco,Alec Mazo,1st Place,1,10,2,
1,Kelly Monaco,Alec Mazo,1st Place,1,10,3,
1,Kelly Monaco,Alec Mazo,1st Place,1,10,4,
1,Kelly Monaco,Alec Mazo,1st Place,1,11,1,
1,Kelly Monaco,Alec Mazo,1st Place,1,11,2,
1,Kelly Monaco,Alec Mazo,1st Place,1,11,3,
1,Kelly Monaco,Alec Mazo,1st Place,1,11,4,
1,Evander Holyfield,Edyta Sliwinska,Eliminated Week 3,5,1,1,5.0
1,Evander Holyfield,Edyta Sliwinska,Eliminated Week 3,5,1,2,7.0
1,Evander Holyfield,Edyta Sliwinska,Eliminated Week 3,5,1,3,6.0
1,Evander Holyfield,Edyta Sliwinska,Eliminated Week 3,5,1,4,
1,Evander Holyfield,Edyta Sliwinska,Eliminated Week 3,5,2,1,5.0
1,Evander Holyfield,Edyta Sliwinska,Eliminated Week 3,5,2,2,4.0
1,Evander Holyfield,Edyta Sliwinska,Eliminated Week 3,5,2,3,5.0
1,Evander Holyfield,Edyta Sliwinska,Eliminated Week 3,5,2,4,
1,Evander Holyfield,Edyta Sliwinska,Eliminated Week 3,5,3,1,5.0
1,Evander Holyfield,Edyta Sliwinska,Eliminated Week 3,5,3,2,4.0
1,Evander Holyfield,Edyta Sliwinska,Eliminated Week 3,5,3,3,4.0
1,Evander Holyfield,Edyta Sliwinska,Eliminated Week 3,5,3,4,
1,Evander Holyfield,Edyta Sliwinska,Eliminated Week 3,5,4,1,0.0
1,Evander Holyfield,Edyta Sliwinska,Eliminated Week 3,5,4,2,0.0
1,Evander Holyfield,Edyta Sliwinska,Eliminated Week 3,5,4,3,0.0
1,Evander Holyfield,Edyta Sliwinska,Eliminated Week 3,5,4,4,
1,Evander Holyfield,Edyta Sliwinska,Eliminated Week 3,5,5,1,0.0
1,Evander Holyfield,Edyta Sliwinska,Eliminated Week 3,5,5,2,0.0
1,Evander Holyfield,Edyta Sliwinska,Eliminated Week 3,5,5,3,0.0
1,Evander Holyfield,Edyta Sliwinska,Eliminated Week 3,5,5,4,
1,Evander Holyfield,Edyta Sliwinska,Eliminated Week 3,5,6,1,0.0
1,Evander Holyfield,Edyta Sliwinska,Eliminated Week 3,5,6,2,0.0
1,Evander Holyfield,Edyta Sliwinska,Eliminated Week 3,5,6,3,0.0
1,Evander Holyfield,Edyta Sliwinska,Eliminated Week 3,5,6,4,
1,Evander Holyfield,Edyta Sliwinska,Eliminated Week 3,5,7,1,
1,Evander Holyfield,Edyta Sliwinska,Eliminated Week 3,5,7,2,
1,Evander Holyfield,Edyta Sliwinska,Eliminated Week 3,5,7,3,
1,Evander Holyfield,Edyta Sliwinska,Eliminated Week 3,5,7,4,
1,Evander Holyfield,Edyta Sliwinska,Eliminated Week 3,5,8,1,
1,Evander Holyfield,Edyta Sliwinska,Eliminated Week 3,5,8,2,
1,Evander Holyfield,Edyta Sliwinska,Eliminated Week 3,5,8,3,
1,Evander Holyfield,Edyta Sliwinska,Eliminated Week 3,5,8,4,
1,Evander Holyfield,Edyta Sliwinska,Eliminated Week 3,5,9,1,
1,Evander Holyfield,Edyta Sliwinska,Eliminated Week 3,5,9,2,
1,Evander Holyfield,Edyta Sliwinska,Eliminated Week 3,5,9,3,
1,Evander Holyfield,Edyta Sliwinska,Eliminated Week 3,5,9,4,
1,Evander Holyfield,Edyta Sliwinska,Eliminated Week 3,5,10,1,
1,Evander Holyfield,Edyta Sliwinska,Eliminated Week 3,5,10,2,
1,Evander Holyfield,Edyta Sliwinska,Eliminated Week 3,5,10,3,
1,Evander Holyfield,Edyta Sliwinska,Eliminated Week 3,5,10,4,
1,Evander Holyfield,Edyta Sliwinska,Eliminated Week 3,5,11,1,
1,Evander Holyfield,Edyta Sliwinska,Eliminated Week 3,5,11,2,
1,Evander Holyfield,Edyta Sliwinska,Eliminated Week 3,5,11,3,
1,Evander Holyfield,Edyta Sliwinska,Eliminated Week 3,5,11,4,
1,Rachel Hunter,Jonathan Roberts,Eliminated Week 4,4,1,1,7.0
1,Rachel Hunter,Jonathan Roberts,Eliminated Week 4,4,1,2,6.0
1,Rachel Hunter,Jonathan Roberts,Eliminated Week 4,4,1,3,7.0
1,Rachel Hunter,Jonathan Roberts,Eliminated Week 4,4,1,4,
1,Rachel Hunter,Jonathan Roberts,Eliminated Week 4,4,2,1,8.0
1,Rachel Hunter,Jonathan Roberts,Eliminated Week 4,4,2,2,8.0
1,Rachel Hunter,Jonathan Roberts,Eliminated Week 4,4,2,3,8.0
1,Rachel Hunter,Jonathan Roberts,Eliminated Week 4,4,2,4,
1,Rachel Hunter,Jonathan Roberts,Eliminated Week 4,4,3,1,8.0
1,Rachel Hunter,Jonathan Roberts,Eliminated Week 4,4,3,2,9.0
1,Rachel Hunter,Jonathan Roberts,Eliminated Week 4,4,3,3,9.0
1,Rachel Hunter,Jonathan Roberts,Eliminated Week 4,4,3,4,
1,Rachel Hunter,Jonathan Roberts,Eliminated Week 4,4,4,1,7.0
1,Rachel Hunter,Jonathan Roberts,Eliminated Week 4,4,4,2,9.0
1,Rachel Hunter,Jonathan Roberts,Eliminated Week 4,4,4,3,9.0
1,Rachel Hunter,Jonathan Roberts,Eliminated Week 4,4,4,4,
1,Rachel Hunter,Jonathan Roberts,Eliminated Week 4,4,5,1,0.0
1,Rachel Hunter,Jonathan Roberts,Eliminated Week 4,4,5,2,0.0
1,Rachel Hunter,Jonathan Roberts,Eliminated Week 4,4,5,3,0.0
1,Rachel Hunter,Jonathan Roberts,Eliminated Week 4,4,5,4,
1,Rachel Hunter,Jonathan Roberts,Eliminated Week 4,4,6,1,0.0
1,Rachel Hunter,Jonathan Roberts,Eliminated Week 4,4,6,2,0.0
1,Rachel Hunter,Jonathan Roberts,Eliminated Week 4,4,6,3,0.0
1,Rachel Hunter,Jonathan Roberts,Eliminated Week 4,4,6,4,
1,Rachel Hunter,Jonathan Roberts,Eliminated Week 4,4,7,1,
1,Rachel Hunter,Jonathan Roberts,Eliminated Week 4,4,7,2,
1,Rachel Hunter,Jonathan Roberts,Eliminated Week 4,4,7,3,
1,Rachel Hunter,Jonathan Roberts,Eliminated Week 4,4,7,4,
1,Rachel Hunter,Jonathan Roberts,Eliminated Week 4,4,8,1,
1,Rachel Hunter,Jonathan Roberts,Eliminated Week 4,4,8,2,
1,Rachel Hunter,Jonathan Roberts,Eliminated Week 4,4,8,3,
1,Rachel Hunter,Jonathan Roberts,Eliminated Week 4,4,8,4,
1,Rachel Hunter,Jonathan Roberts,Eliminated Week 4,4,9,1,
1,Rachel Hunter,Jonathan Roberts,Eliminated Week 4,4,9,2,
1,Rachel Hunter,Jonathan Roberts,Eliminated Week 4,4,9,3,
1,Rachel Hunter,Jonathan Roberts,Eliminated Week 4,4,9,4,
1,Rachel Hunter,Jonathan Roberts,Eliminated Week 4,4,10,1,
1,Rachel Hunter,Jonathan Roberts,Eliminated Week 4,4,10,2,
1,Rachel Hunter,Jonathan Roberts,Eliminated Week 4,4,10,3,
1,Rachel Hunter,Jonathan Roberts,Eliminated Week 4,4,10,4,
1,Rachel Hunter,Jonathan Roberts,Eliminated Week 4,4,11,1,
1,Rachel Hunter,Jonathan Roberts,Eliminated Week 4,4,11,2,
1,Rachel Hunter,Jonathan Roberts,Eliminated Week 4,4,11,3,
1,Rachel Hunter,Jonathan Roberts,Eliminated Week 4,4,11,4,
1,Joey McIntyre,Ashly DelGrosso,3rd Place,3,1,1,7.0
1,Joey McIntyre,Ashly DelGrosso,3rd Place,3,1,2,7.0
1,Joey McIntyre,Ashly DelGrosso,3rd Place,3,1,3,6.0
1,Joey McIntyre,Ashly DelGrosso,3rd Place,3,1,4,
1,Joey McIntyre,Ashly DelGrosso,3rd Place,3,2,1,8.0
1,Joey McIntyre,Ashly DelGrosso,3rd Place,3,2,2,7.0
1,Joey McIntyre,Ashly DelGrosso,3rd Place,3,2,3,6.0
1,Joey McIntyre,Ashly DelGrosso,3rd Place,3,2,4,
1,Joey McIntyre,Ashly DelGrosso,3rd Place,3,3,1,7.0
1,Joey McIntyre,Ashly DelGrosso,3rd Place,3,3,2,7.0
1,Joey McIntyre,Ashly DelGrosso,3rd Place,3,3,3,8.0
1,Joey McIntyre,Ashly DelGrosso,3rd Place,3,3,4,
1,Joey McIntyre,Ashly DelGrosso,3rd Place,3,4,1,7.0
1,Joey McIntyre,Ashly DelGrosso,3rd Place,3,4,2,6.0
1,Joey McIntyre,Ashly DelGrosso,3rd Place,3,4,3,7.0
1,Joey McIntyre,Ashly DelGrosso,3rd Place,3,4,4,
1,Joey McIntyre,Ashly DelGrosso,3rd Place,3,5,1,8.5
1,Joey McIntyre,Ashly DelGrosso,3rd Place,3,5,2,7.0
1,Joey McIntyre,Ashly DelGrosso,3rd Place,3,5,3,7.0
1,Joey McIntyre,Ashly DelGrosso,3rd Place,3,5,4,
1,Joey McIntyre,Ashly DelGrosso,3rd Place,3,6,1,0.0
1,Joey McIntyre,Ashly DelGrosso,3rd Place,3,6,2,0.0
1,Joey McIntyre,Ashly DelGrosso,3rd Place,3,6,3,0.0
1,Joey McIntyre,Ashly DelGrosso,3rd Place,3,6,4,
1,Joey McIntyre,Ashly DelGrosso,3rd Place,3,7,1,
1,Joey McIntyre,Ashly DelGrosso,3rd Place,3,7,2,
1,Joey McIntyre,Ashly DelGrosso,3rd Place,3,7,3,
1,Joey McIntyre,Ashly DelGrosso,3rd Place,3,7,4,
1,Joey McIntyre,Ashly DelGrosso,3rd Place,3,8,1,
1,Joey McIntyre,Ashly DelGrosso,3rd Place,3,8,2,
1,Joey McIntyre,Ashly DelGrosso,3rd Place,3,8,3,
1,Joey McIntyre,Ashly DelGrosso,3rd Place,3,8,4,
1,Joey McIntyre,Ashly DelGrosso,3rd Place,3,9,1,
1,Joey McIntyre,Ashly DelGrosso,3rd Place,3,9,2,
1,Joey McIntyre,Ashly DelGrosso,3rd Place,3,9,3,
1,Joey McIntyre,Ashly DelGrosso,3rd Place,3,9,4,
1,Joey McIntyre,Ashly DelGrosso,3rd Place,3,10,1,
1,Joey McIntyre,Ashly DelGrosso,3rd Place,3,10,2,
1,Joey McIntyre,Ashly DelGrosso,3rd Place,3,10,3,
1,Joey McIntyre,Ashly DelGrosso,3rd Place,3,10,4,
1,Joey McIntyre,Ashly DelGrosso,3rd Place,3,11,1,
1,Joey McIntyre,Ashly DelGrosso,3rd Place,3,11,2,
1,Joey McIntyre,Ashly DelGrosso,3rd Place,3,11,3,
1,Joey McIntyre,Ashly DelGrosso,3rd Place,3,11,4,
1,Trista Sutter,Louis van Amstel,Eliminated Week 2,6,1,1,6.0
1,Trista Sutter,Louis van Amstel,Eliminated Week 2,6,1,2,6.0
1,Trista Sutter,Louis van Amstel,Eliminated Week 2,6,1,3,6.0
1,Trista Sutter,Louis van Amstel,Eliminated Week 2,6,1,4,
1,Trista Sutter,Louis van Amstel,Eliminated Week 2,6,2,1,6.0
1,Trista Sutter,Louis van Amstel,Eliminated Week 2,6,2,2,7.0
1,Trista Sutter,Louis van Amstel,Eliminated Week 2,6,2,3,6.0
1,Trista Sutter,Louis van Amstel,Eliminated Week 2,6,2,4,
1,Trista Sutter,Louis van Amstel,Eliminated Week 2,6,3,1,0.0
1,Trista Sutter,Louis van Amstel,Eliminated Week 2,6,3,2,0.0
1,Trista Sutter,Louis van Amstel,Eliminated Week 2,6,3,3,0.0
1,Trista Sutter,Louis van Amstel,Eliminated Week 2,6,3,4,
1,Trista Sutter,Louis van Amstel,Eliminated Week 2,6,4,1,0.0
1,Trista Sutter,Louis van Amstel,Eliminated Week 2,6,4,2,0.0
1,Trista Sutter,Louis van Amstel,Eliminated Week 2,6,4,3,0.0
1,Trista Sutter,Louis van Amstel,Eliminated Week 2,6,4,4,
1,Trista Sutter,Louis van Amstel,Eliminated Week 2,6,5,1,0.0
1,Trista Sutter,Louis van Amstel,Eliminated Week 2,6,5,2,0.0
1,Trista Sutter,Louis van Amstel,Eliminated Week 2,6,5,3,0.0
1,Trista Sutter,Louis van Amstel,Eliminated Week 2,6,5,4,
1,Trista Sutter,Louis van Amstel,Eliminated Week 2,6,6,1,0.0
1,Trista Sutter,Louis van Amstel,Eliminated Week 2,6,6,2,0.0
1,Trista Sutter,Louis van Amstel,Eliminated Week 2,6,6,3,0.0
1,Trista Sutter,Louis van Amstel,Eliminated Week 2,6,6,4,
1,Trista Sutter,Louis van Amstel,Eliminated Week 2,6,7,1,
1,Trista Sutter,Louis van Amstel,Eliminated Week 2,6,7,2,
1,Trista Sutter,Louis van Amstel,Eliminated Week 2,6,7,3,
1,Trista Sutter,Louis van Amstel,Eliminated Week 2,6,7,4,
1,Trista Sutter,Louis van Amstel,Eliminated Week 2,6,8,1,
1,Trista Sutter,Louis van Amstel,Eliminated Week 2,6,8,2,
1,Trista Sutter,Louis van Amstel,Eliminated Week 2,6,8,3,
1,Trista Sutter,Louis van Amstel,Eliminated Week 2,6,8,4,
1,Trista Sutter,Louis van Amstel,Eliminated Week 2,6,9,1,
1,Trista Sutter,Louis van Amstel,Eliminated Week 2,6,9,2,
1,Trista Sutter,Louis van Amstel,Eliminated Week 2,6,9,3,
1,Trista Sutter,Louis van Amstel,Eliminated Week 2,6,9,4,
1,Trista Sutter,Louis van Amstel,Eliminated Week 2,6,10,1,
1,Trista Sutter,Louis van Amstel,Eliminated Week 2,6,10,2,
1,Trista Sutter,Louis van Amstel,Eliminated Week 2,6,10,3,
1,Trista Sutter,Louis van Amstel,Eliminated Week 2,6,10,4,
1,Trista Sutter,Louis van Amstel,Eliminated Week 2,6,11,1,
1,Trista Sutter,Louis van Amstel,Eliminated Week 2,6,11,2,
1,Trista Sutter,Louis van Amstel,Eliminated Week 2,6,11,3,
1,Trista Sutter,Louis van Amstel,Eliminated Week 2,6,11,4,
2,Tatum O'Neal,Nick Kosovich,Eliminated Week 2,9,1,1,7.0
2,Tatum O'Neal,Nick Kosovich,Eliminated Week 2,9,1,2,8.0
2,Tatum O'Neal,Nick Kosovich,Eliminated Week 2,9,1,3,8.0
2,Tatum O'Neal,Nick Kosovich,Eliminated Week 2,9,1,4,
2,Tatum O'Neal,Nick Kosovich,Eliminated Week 2,9,2,1,5.0
2,Tatum O'Neal,Nick Kosovich,Eliminated Week 2,9,2,2,6.0
2,Tatum O'Neal,Nick Kosovich,Eliminated Week 2,9,2,3,6.0
2,Tatum O'Neal,Nick Kosovich,Eliminated Week 2,9,2,4,
2,Tatum O'Neal,Nick Kosovich,Eliminated Week 2,9,3,1,0.0
2,Tatum O'Neal,Nick Kosovich,Eliminated Week 2,9,3,2,0.0
2,Tatum O'Neal,Nick Kosovich,Eliminated Week 2,9,3,3,0.0
2,Tatum O'Neal,Nick Kosovich,Eliminated Week 2,9,3,4,
2,Tatum O'Neal,Nick Kosovich,Eliminated Week 2,9,4,1,0.0
2,Tatum O'Neal,Nick Kosovich,Eliminated Week 2,9,4,2,0.0
2,Tatum O'Neal,Nick Kosovich,Eliminated Week 2,9,4,3,0.0
2,Tatum O'Neal,Nick Kosovich,Eliminated Week 2,9,4,4,
2,Tatum O'Neal,Nick Kosovich,Eliminated Week 2,9,5,1,0.0
2,Tatum O'Neal,Nick Kosovich,Eliminated Week 2,9,5,2,0.0
2,Tatum O'Neal,Nick Kosovich,Eliminated Week 2,9,5,3,0.0
2,Tatum O'Neal,Nick Kosovich,Eliminated Week 2,9,5,4,
2,Tatum O'Neal,Nick Kosovich,Eliminated Week 2,9,6,1,0.0
2,Tatum O'Neal,Nick Kosovich,Eliminated Week 2,9,6,2,0.0
2,Tatum O'Neal,Nick Kosovich,Eliminated Week 2,9,6,3,0.0
2,Tatum O'Neal,Nick Kosovich,Eliminated Week 2,9,6,4,
2,Tatum O'Neal,Nick Kosovich,Eliminated Week 2,9,7,1,0.0
2,Tatum O'Neal,Nick Kosovich,Eliminated Week 2,9,7,2,0.0
2,Tatum O'Neal,Nick Kosovich,Eliminated Week 2,9,7,3,0.0
2,Tatum O'Neal,Nick Kosovich,Eliminated Week 2,9,7,4,
2,Tatum O'Neal,Nick Kosovich,Eliminated Week 2,9,8,1,0.0
2,Tatum O'Neal,Nick Kosovich,Eliminated Week 2,9,8,2,0.0
2,Tatum O'Neal,Nick Kosovich,Eliminated Week 2,9,8,3,0.0
2,Tatum O'Neal,Nick Kosovich,Eliminated Week 2,9,8,4,
2,Tatum O'Neal,Nick Kosovich,Eliminated Week 2,9,9,1,
2,Tatum O'Neal,Nick Kosovich,Eliminated Week 2,9,9,2,
2,Tatum O'Neal,Nick Kosovich,Eliminated Week 2,9,9,3,
2,Tatum O'Neal,Nick Kosovich,Eliminated Week 2,9,9,4,
2,Tatum O'Neal,Nick Kosovich,Eliminated Week 2,9,10,1,
2,Tatum O'Neal,Nick Kosovich,Eliminated Week 2,9,10,2,
2,Tatum O'Neal,Nick Kosovich,Eliminated Week 2,9,10,3,
2,Tatum O'Neal,Nick Kosovich,Eliminated Week 2,9,10,4,
2,Tatum O'Neal,Nick Kosovich,Eliminated Week 2,9,11,1,
2,Tatum O'Neal,Nick Kosovich,Eliminated Week 2,9,11,2,
2,Tatum O'Neal,Nick Kosovich,Eliminated Week 2,9,11,3,
2,Tatum O'Neal,Nick Kosovich,Eliminated Week 2,9,11,4,
2,Tia Carrere,Maksim Chmerkoskiy,Eliminated Week 5,6,1,1,6.0
2,Tia Carrere,Maksim Chmerkoskiy,Eliminated Week 5,6,1,2,7.0
2,Tia Carrere,Maksim Chmerkoskiy,Eliminated Week 5,6,1,3,7.0
2,Tia Carrere,Maksim Chmerkoskiy,Eliminated Week 5,6,1,4,
2,Tia Carrere,Maksim Chmerkoskiy,Eliminated Week 5,6,2,1,7.0
2,Tia Carrere,Maksim Chmerkoskiy,Eliminated Week 5,6,2,2,8.0
2,Tia Carrere,Maksim Chmerkoskiy,Eliminated Week 5,6,2,3,7.0
2,Tia Carrere,Maksim Chmerkoskiy,Eliminated Week 5,6,2,4,
2,Tia Carrere,Maksim Chmerkoskiy,Eliminated Week 5,6,3,1,9.0
2,Tia Carrere,Maksim Chmerkoskiy,Eliminated Week 5,6,3,2,8.0
2,Tia Carrere,Maksim Chmerkoskiy,Eliminated Week 5,6,3,3,9.0
2,Tia Carrere,Maksim Chmerkoskiy,Eliminated Week 5,6,3,4,
2,Tia Carrere,Maksim Chmerkoskiy,Eliminated Week 5,6,4,1,9.0
2,Tia Carrere,Maksim Chmerkoskiy,Eliminated Week 5,6,4,2,8.0
2,Tia Carrere,Maksim Chmerkoskiy,Eliminated Week 5,6,4,3,8.0
2,Tia Carrere,Maksim Chmerkoskiy,Eliminated Week 5,6,4,4,
2,Tia Carrere,Maksim Chmerkoskiy,Eliminated Week 5,6,5,1,7.0
2,Tia Carrere,Maksim Chmerkoskiy,Eliminated Week 5,6,5,2,7.0
2,Tia Carrere,Maksim Chmerkoskiy,Eliminated Week 5,6,5,3,8.0
2,Tia Carrere,Maksim Chmerkoskiy,Eliminated Week 5,6,5,4,
2,Tia Carrere,Maksim Chmerkoskiy,Eliminated Week 5,6,6,1,0.0
2,Tia Carrere,Maksim Chmerkoskiy,Eliminated Week 5,6,6,2,0.0
2,Tia Carrere,Maksim Chmerkoskiy,Eliminated Week 5,6,6,3,0.0
2,Tia Carrere,Maksim Chmerkoskiy,Eliminated Week 5,6,6,4,
2,Tia Carrere,Maksim Chmerkoskiy,Eliminated Week 5,6,7,1,0.0
2,Tia Carrere,Maksim Chmerkoskiy,Eliminated Week 5,6,7,2,0.0
2,Tia Carrere,Maksim Chmerkoskiy,Eliminated Week 5,6,7,3,0.0
2,Tia Carrere,Maksim Chmerkoskiy,Eliminated Week 5,6,7,4,
2,Tia Carrere,Maksim Chmerkoskiy,Eliminated Week 5,6,8,1,0.0
2,Tia Carrere,Maksim Chmerkoskiy,Eliminated Week 5,6,8,2,0.0
2,Tia Carrere,Maksim Chmerkoskiy,Eliminated Week 5,6,8,3,0.0
2,Tia Carrere,Maksim Chmerkoskiy,Eliminated Week 5,6,8,4,
2,Tia Carrere,Maksim Chmerkoskiy,Eliminated Week 5,6,9,1,
2,Tia Carrere,Maksim Chmerkoskiy,Eliminated Week 5,6,9,2,
2,Tia Carrere,Maksim Chmerkoskiy,Eliminated Week 5,6,9,3,
2,Tia Carrere,Maksim Chmerkoskiy,Eliminated Week 5,6,9,4,
2,Tia Carrere,Maksim Chmerkoskiy,Eliminated Week 5,6,10,1,
2,Tia Carrere,Maksim Chmerkoskiy,Eliminated Week 5,6,10,2,
2,Tia Carrere,Maksim Chmerkoskiy,Eliminated Week 5,6,10,3,
2,Tia Carrere,Maksim Chmerkoskiy,Eliminated Week 5,6,10,4,
2,Tia Carrere,Maksim Chmerkoskiy,Eliminated Week 5,6,11,1,
2,Tia Carrere,Maksim Chmerkoskiy,Eliminated Week 5,6,11,2,
2,Tia Carrere,Maksim Chmerkoskiy,Eliminated Week 5,6,11,3,
2,Tia Carrere,Maksim Chmerkoskiy,Eliminated Week 5,6,11,4,
2,George Hamilton,Edyta Sliwinska,Eliminated Week 6,5,1,1,7.0
2,George Hamilton,Edyta Sliwinska,Eliminated Week 6,5,1,2,5.0
2,George Hamilton,Edyta Sliwinska,Eliminated Week 6,5,1,3,6.0
2,George Hamilton,Edyta Sliwinska,Eliminated Week 6,5,1,4,
2,George Hamilton,Edyta Sliwinska,Eliminated Week 6,5,2,1,8.0
2,George Hamilton,Edyta Sliwinska,Eliminated Week 6,5,2,2,7.0
2,George Hamilton,Edyta Sliwinska,Eliminated Week 6,5,2,3,7.0
2,George Hamilton,Edyta Sliwinska,Eliminated Week 6,5,2,4,
2,George Hamilton,Edyta Sliwinska,Eliminated Week 6,5,3,1,7.0
2,George Hamilton,Edyta Sliwinska,Eliminated Week 6,5,3,2,7.0
2,George Hamilton,Edyta Sliwinska,Eliminated Week 6,5,3,3,8.0
2,George Hamilton,Edyta Sliwinska,Eliminated Week 6,5,3,4,
2,George Hamilton,Edyta Sliwinska,Eliminated Week 6,5,4,1,7.0
2,George Hamilton,Edyta Sliwinska,Eliminated Week 6,5,4,2,7.0
