occ_code,occ_title,emp_2024,emp_2034,pct_change,annual_openings,labor_force_exits,occupational_transfers,total_separations,g_baseline,oews_occ_title,oews_emp,oews_a_mean,oews_h_mean,oews_a_median,oews_h_median,oews_a_pct10,oews_a_pct25,oews_a_pct75,oews_a_pct90,oews_oews_year
11-9032,"        Education administrators, kindergarten through secondary",333.3,328.1,-1.5,20.8,8.0,13.3,6.5,-0.0015712188757893708,"Education Administrators, Kindergarten through Secondary",319630.0,113360.0,,104070.0,,72400.0,83840.0,132550.0,165820.0,2024
11-9033,"        Education administrators, postsecondary",226.6,230.5,1.7,15.1,5.5,9.2,6.5,0.0017079082009876512,"Education Administrators, Postsecondary",176420.0,124450.0,59.83,103960.0,49.98,63820.0,79880.0,140940.0,212420.0,2024
11-9039,"        Education administrators, all other",60.2,61.7,2.5,4.1,1.5,2.5,6.5,0.0024641889948524565,"Education Administrators, All Other",53330.0,99460.0,47.82,89040.0,42.81,49490.0,65180.0,121720.0,158050.0,2024
11-9041,      Architectural and engineering managers,212.5,220.5,3.8,14.5,4.7,9.0,6.3,0.003702407693127352,Architectural and Engineering Managers,210340.0,175710.0,84.48,167740.0,80.64,111450.0,134930.0,207210.0,,2024
11-9051,      Food service managers,352.8,375.3,6.4,42.0,12.7,27.0,10.9,0.006201588917587042,Food Service Managers,244230.0,72370.0,34.79,65310.0,31.4,42380.0,53090.0,82300.0,105420.0,2024
11-9070,      Entertainment and recreation managers,48.3,51.7,7.0,6.1,2.2,3.6,11.6,0.006825812474532622,Entertainment and Recreation Managers,41320.0,88780.0,42.68,77650.0,37.33,46080.0,59450.0,102890.0,137940.0,2024
11-9071,        Gambling managers,5.1,5.2,1.2,0.6,0.2,0.4,11.6,0.001943695116898514,Gambling Managers,4620.0,102480.0,49.27,85580.0,41.14,51670.0,70190.0,120490.0,165220.0,2024
11-9072,"        Entertainment and recreation managers, except gambling",43.2,46.5,7.7,5.5,2.0,3.2,11.6,0.007388341835165679,"Entertainment and Recreation Managers, Except Gambling",36700.0,87060.0,41.86,77180.0,37.11,45320.0,58380.0,101750.0,134680.0,2024
11-9081,      Lodging managers,52.0,53.8,3.4,5.4,2.0,3.2,9.9,0.0034087715510431327,Lodging Managers,41350.0,77460.0,37.24,68130.0,32.76,39490.0,50040.0,90670.0,126990.0,2024
11-9111,      Medical and health services managers,616.2,759.1,23.2,62.1,18.0,29.8,7.0,0.02107520381336836,Medical and Health Services Managers,565840.0,137730.0,66.22,117960.0,56.71,69680.0,88560.0,162420.0,219080.0,2024
11-9121,      Natural sciences managers,104.3,108.2,3.7,8.5,2.3,5.8,7.6,0.0036777468154718385,Natural Sciences Managers,100870.0,173500.0,83.41,161180.0,77.49,79830.0,114110.0,214820.0,,2024
11-9131,      Postmasters and mail superintendents,13.1,12.7,-3.5,0.9,0.4,0.6,7.4,-0.0030962204665782034,Postmasters and Mail Superintendents,13810.0,93760.0,45.08,92730.0,44.58,81430.0,87150.0,99590.0,109140.0,2024
11-9141,"      Property, real estate, and community association managers",466.1,483.1,3.6,39.0,20.2,17.1,7.9,0.003588771091563858,"Property, Real Estate, and Community Association Managers",296640.0,82720.0,39.77,66700.0,32.07,39360.0,49530.0,95760.0,141040.0,2024
11-9151,      Social and community service managers,219.8,233.9,6.4,18.6,6.9,10.2,7.6,0.006236932330099032,Social and Community Service Managers,195490.0,86100.0,41.39,78240.0,37.61,50020.0,62420.0,100600.0,129820.0,2024
11-9161,      Emergency management directors,13.2,13.6,3.0,1.0,0.4,0.6,7.5,0.0029897567494807653,Emergency Management Directors,12570.0,97700.0,46.97,86130.0,41.41,51260.0,64470.0,119690.0,160420.0,2024
11-9170,      Personal service managers,57.1,60.1,5.2,4.6,1.7,2.6,7.4,0.005133705025022861,Personal Service Managers,23610.0,78970.0,37.97,70560.0,33.92,40670.0,52070.0,95420.0,124950.0,2024
11-9171,        Funeral home managers,32.1,33.4,4.1,2.6,1.0,1.5,7.4,0.0039778778217156585,Funeral Home Managers,13120.0,85650.0,41.18,76830.0,36.94,45820.0,59780.0,99330.0,132470.0,2024
11-9179,"        Personal service managers, all other",25.1,26.7,6.5,2.1,0.8,1.2,7.4,0.006198704872279803,"Personal Service Managers, All Other",10490.0,70620.0,33.95,61340.0,29.49,36880.0,47670.0,82890.0,111130.0,2024
11-9199,"      Managers, all other",1333.7,1393.5,4.5,106.7,39.6,61.1,7.4,0.0043957865790336115,"Managers, All Other",630980.0,149890.0,72.06,136550.0,65.65,68860.0,100010.0,179190.0,227590.0,2024
13-0000,  Business and financial operations occupations,11262.0,11848.9,5.2,942.5,348.6,535.2,7.6,0.0050930064330185765,Business and Financial Operations Occupations,10351440.0,93680.0,45.04,80920.0,38.9,47310.0,61430.0,109370.0,150040.0,2024
13-1000,    Business operations specialists,7921.1,8356.3,5.5,689.9,247.8,398.6,7.9,0.005362895147090763,Business Operations Specialists,7318320.0,91020.0,43.76,80410.0,38.66,46690.0,60690.0,108270.0,143140.0,2024
13-1011,"      Agents and business managers of artists, performers, and athletes",21.4,23.2,8.7,2.2,0.8,1.2,9.2,0.008108835618559462,"Agents and Business Managers of Artists, Performers, and Athletes",14220.0,165600.0,79.62,96310.0,46.3,48530.0,63100.0,168850.0,,2024
13-1020,      Buyers and purchasing agents,522.2,552.3,5.8,52.2,21.2,28.1,9.2,0.005619804250434068,Buyers and Purchasing Agents,486900.0,81720.0,39.29,75650.0,36.37,46460.0,58670.0,99190.0,127520.0,2024
13-1020,      Buyers and purchasing agents,522.2,552.3,5.8,52.2,21.2,28.1,9.2,0.005619804250434068,Buyers and Purchasing Agents,486900.0,81720.0,39.29,75650.0,36.37,46460.0,58670.0,99190.0,127520.0,2024
13-1030,"      Claims adjusters, appraisers, examiners, and investigators",365.3,346.3,-5.2,21.6,9.0,14.5,6.6,-0.005327108603012332,"Claims Adjusters, Appraisers, Examiners, and Investigators",312810.0,78720.0,37.85,76790.0,36.92,47860.0,60220.0,95860.0,111360.0,2024
13-1031,"        Claims adjusters, examiners, and investigators",356.1,337.9,-5.1,21.1,8.8,14.1,6.6,-0.005232422593552055,"Claims Adjusters, Examiners, and Investigators",305020.0,78770.0,37.87,76790.0,36.92,47810.0,60100.0,95990.0,112150.0,2024
13-1032,"        Insurance appraisers, auto damage",9.2,8.4,-8.2,0.5,0.2,0.4,6.6,-0.009055923691917434,"Insurance Appraisers, Auto Damage",7790.0,77050.0,37.04,76650.0,36.85,56690.0,64280.0,86430.0,101800.0,2024
13-1041,      Compliance officers,418.0,430.3,3.0,33.3,14.1,17.9,7.6,0.0029043301504001473,Compliance Officers,397770.0,84980.0,40.86,78420.0,37.7,46230.0,59130.0,104800.0,130030.0,2024
13-1051,      Cost estimators,221.4,212.1,-4.2,16.9,6.2,11.7,8.2,-0.004282121331365962,Cost Estimators,219530.0,83160.0,39.98,77070.0,37.05,46330.0,59830.0,99630.0,128640.0,2024
13-1070,      Human resources workers,1013.7,1072.3,5.8,87.2,29.6,51.7,7.8,0.0056357082730722485,Human Resources Workers,982460.0,80860.0,38.88,74220.0,35.68,45560.0,56540.0,98470.0,128180.0,2024
13-1071,        Human resources specialists,944.3,1002.7,6.2,81.8,27.7,48.2,7.8,0.0060188135313461455,Human Resources Specialists,917460.0,79730.0,38.33,72910.0,35.05,45440.0,55870.0,97270.0,126540.0,2024
13-1074,        Farm labor contractors,3.9,4.2,6.0,0.3,0.1,0.2,7.8,0.00743832513231002,Farm Labor Contractors,410.0,51910.0,24.96,48690.0,23.41,29800.0,32860.0,58250.0,86860.0,2024
13-1075,        Labor relations specialists,65.4,65.4,-0.1,5.1,1.9,3.2,7.8,0.0,Labor Relations Specialists,64590.0,97130.0,46.7,93500.0,44.95,49880.0,67670.0,123090.0,153440.0,2024
13-1080,      Logisticians and project management specialists,1287.2,1386.2,7.7,104.7,31.6,63.2,7.1,0.007437207042817251,Logisticians and Project Management Specialists,1241800.0,104210.0,50.1,98070.0,47.15,57540.0,74260.0,129100.0,162670.0,2024
13-1081,        Logisticians,241.0,281.3,16.7,26.4,6.6,15.8,8.6,0.015582640855179797,Logisticians,235640.0,87600.0,42.12,80880.0,38.89,49260.0,62920.0,104330.0,132110.0,2024
13-1082,        Project management specialists,1046.3,1105.0,5.6,78.2,25.0,47.4,6.7,0.005473445222263784,Project Management Specialists,1006160.0,108100.0,51.97,100750.0,48.44,59830.0,76950.0,131660.0,165790.0,2024
13-1111,      Management analysts,1075.1,1169.7,8.8,98.1,38.9,49.8,7.9,0.00846902349504397,Management Analysts,893900.0,114710.0,55.15,101190.0,48.65,59720.0,76770.0,133140.0,174140.0,2024
13-1121,"      Meeting, convention, and event planners",155.8,163.3,4.8,15.5,5.7,9.1,9.3,0.004712656454252118,"Meeting, Convention, and Event Planners",134670.0,65090.0,31.29,59440.0,28.58,35990.0,45610.0,77150.0,101310.0,2024
13-1131,      Fundraisers,134.4,140.2,4.3,10.2,4.1,5.6,7.0,0.004233892354744029,Fundraisers,105930.0,73130.0,35.16,66490.0,31.97,43200.0,52590.0,85280.0,106960.0,2024
13-1141,"      Compensation, benefits, and job analysis specialists",107.0,112.7,5.3,8.5,3.2,4.7,7.2,0.00520355034360187,"Compensation, Benefits, and Job Analysis Specialists",102370.0,82920.0,39.86,77020.0,37.03,48300.0,59700.0,99210.0,128830.0,2024
13-1151,      Training and development specialists,452.3,501.0,10.8,43.9,14.3,24.8,8.2,0.010278507115065949,Training and Development Specialists,436610.0,73760.0,35.46,65850.0,31.66,37510.0,48900.0,91550.0,120190.0,2024
13-1161,      Market research analysts and marketing specialists,941.7,1004.7,6.7,87.2,27.4,53.5,8.3,0.006496764608449945,Market Research Analysts and Marketing Specialists,861140.0,86480.0,41.58,76950.0,37.0,42070.0,56220.0,104870.0,144610.0,2024
13-1199,"      Business operations specialists, all other",1205.7,1242.0,3.0,108.2,41.8,62.8,8.5,0.0029706709608072757,"Business Operations Specialists, All Other",1128200.0,92380.0,44.41,81270.0,39.07,46230.0,60820.0,110030.0,147830.0,2024
13-2000,    Financial specialists,3340.9,3492.6,4.5,252.6,100.8,136.6,6.9,0.004450495444588309,Financial Specialists,3033120.0,100090.0,48.12,82140.0,39.49,48960.0,63030.0,114220.0,162290.0,2024
13-2011,      Accountants and auditors,1579.8,1652.6,4.6,124.2,49.7,67.2,7.2,0.004515318320736927,Accountants and Auditors,1448290.0,93520.0,44.96,81680.0,39.27,52780.0,64660.0,106450.0,141420.0,2024
13-2020,      Property appraisers and assessors,77.3,80.2,3.8,6.3,3.5,2.4,7.6,0.003689746343801037,Property Appraisers and Assessors,59070.0,77160.0,37.1,65420.0,31.45,38480.0,49310.0,90810.0,122760.0,2024
13-2020,      Property appraisers and assessors,77.3,80.2,3.8,6.3,3.5,2.4,7.6,0.003689746343801037,Property Appraisers and Assessors,59070.0,77160.0,37.1,65420.0,31.45,38480.0,49310.0,90810.0,122760.0,2024
13-2031,      Budget analysts,50.4,51.0,1.0,3.1,1.1,1.9,6.0,0.001184146312965595,Budget Analysts,47170.0,93920.0,45.15,87930.0,42.27,60510.0,72240.0,110380.0,134640.0,2024
13-2041,      Credit analysts,67.8,64.8,-4.4,3.7,1.2,2.8,6.1,-0.004515433794721191,Credit Analysts,67370.0,98040.0,47.14,80970.0,38.93,52930.0,63850.0,113850.0,168840.0,2024
13-2050,      Financial analysts and advisors,881.9,934.9,6.0,62.3,23.2,33.8,6.3,0.005853153231906383,Financial Analysts and Advisors,775200.0,128420.0,61.74,99990.0,48.07,57870.0,74840.0,137310.0,213800.0,2024
13-2051,        Financial and investment analysts,368.5,389.6,5.7,25.1,7.9,15.1,6.1,0.005583516058335292,Financial and Investment Analysts,340580.0,116490.0,56.01,101350.0,48.73,62410.0,78300.0,132050.0,180550.0,2024
13-2052,        Personal financial advisors,326.0,357.2,9.6,24.1,9.6,11.3,6.1,0.009181742706549922,Personal Financial Advisors,270480.0,160210.0,77.02,102140.0,49.11,49990.0,70620.0,172540.0,,2024
13-2053,        Insurance underwriters,127.0,123.7,-2.6,8.2,3.9,4.7,6.8,-0.0026293179784260268,Insurance Underwriters,107820.0,90830.0,43.67,79880.0,38.4,51640.0,63070.0,104820.0,138020.0,2024
13-2054,        Financial risk specialists,60.5,64.4,6.5,4.8,1.8,2.6,7.1,0.006266580174915548,Financial Risk Specialists,56320.0,119930.0,57.66,106000.0,50.96,62270.0,80280.0,145020.0,182310.0,2024
13-2061,      Financial examiners,65.1,77.2,18.5,5.7,2.3,2.2,6.3,0.017193628498659796,Financial Examiners,62830.0,103650.0,49.83,90400.0,43.46,53420.0,66800.0,127210.0,171540.0,2024
13-2070,      Credit counselors and loan officers,333.2,339.3,1.8,22.5,9.0,12.9,6.5,0.0018158227628990442,Credit Counselors and Loan Officers,318640.0,83360.0,40.08,69040.0,33.19,38550.0,49470.0,100090.0,138030.0,2024
13-2071,        Credit counselors,31.8,32.9,3.3,2.2,0.9,1.2,6.5,0.0034064255237613583,Credit Counselors,28110.0,55890.0,26.87,50480.0,24.27,38980.0,45420.0,61760.0,77920.0,2024
13-2072,        Loan officers,301.4,306.5,1.7,20.3,8.1,11.7,6.5,0.0016793554590261994,Loan Officers,290530.0,86020.0,41.35,74180.0,35.66,38490.0,50460.0,101920.0,145780.0,2024
13-2080,"      Tax examiners, collectors and preparers, and revenue agents",148.2,151.2,2.1,14.7,6.8,7.5,9.6,0.0020060845889970924,"Tax Examiners, Collectors and Preparers, and Revenue Agents",127100.0,62530.0,30.06,56160.0,27.0,34770.0,41540.0,77130.0,100410.0,2024
13-2081,"        Tax examiners and collectors, and revenue agents",57.6,56.5,-1.8,4.3,2.1,2.3,7.7,-0.0019263351851472876,"Tax Examiners and Collectors, and Revenue Agents",53530.0,67570.0,32.49,59740.0,28.72,40020.0,46820.0,79330.0,110300.0,2024
13-2082,        Tax preparers,90.6,94.7,4.5,10.4,4.7,5.2,10.8,0.004435787824397908,Tax Preparers,73570.0,58860.0,28.3,50560.0,24.31,30500.0,37750.0,75590.0,96240.0,2024
13-2099,"      Financial specialists, all other",137.1,141.4,3.1,10.3,4.0,5.9,7.1,0.0030929901431357987,"Financial Specialists, All Other",127450.0,93890.0,45.14,80190.0,38.55,46420.0,60140.0,109120.0,151780.0,2024
15-0000,  Computer and mathematical occupations,5416.7,5962.3,10.1,355.4,117.6,183.2,5.3,0.00964315230564261,Computer and Mathematical Occupations,5192890.0,116810.0,56.16,105850.0,50.89,54100.0,76350.0,146650.0,180110.0,2024
15-1200,    Computer occupations,4985.6,5414.4,8.6,317.7,106.5,168.3,5.3,0.008284963290375869,Computer Occupations,4786660.0,116770.0,56.14,105990.0,50.96,53340.0,76180.0,147220.0,180110.0,2024
15-1210,      Computer and information analysts,703.8,801.4,13.9,50.2,17.6,22.9,5.4,0.013071289410115483,Computer and Information Analysts,677230.0,116130.0,55.83,106890.0,51.39,64450.0,82550.0,137190.0,170060.0,2024
15-1211,        Computer systems analysts,521.1,566.5,8.7,34.2,13.8,15.9,5.5,0.00838849979163725,Computer Systems Analysts,497800.0,111960.0,53.83,103790.0,49.9,63160.0,80900.0,132360.0,166030.0,2024
15-1212,        Information security analysts,182.8,234.9,28.5,16.0,3.7,7.0,5.2,0.02539378906541301,Information Security Analysts,179430.0,127730.0,61.41,124910.0,60.05,69660.0,92160.0,159600.0,186420.0,2024
15-1221,      Computer and information research scientists,40.3,48.3,19.7,3.2,0.8,1.6,5.4,0.018272953267546743,Computer and Information Research Scientists,38480.0,152310.0,73.23,140910.0,67.74,80670.0,102710.0,181210.0,232120.0,2024
15-1230,      Computer support specialists,882.3,858.0,-2.7,50.5,21.0,31.9,6.1,-0.0027889072263826975,Computer Support Specialists,843660.0,67530.0,32.47,61550.0,29.59,39520.0,48290.0,79020.0,101310.0,2024
15-1231,        Computer network support specialists,152.7,155.5,1.8,9.6,3.7,5.7,6.1,0.0018187037786865368,Computer Network Support Specialists,146450.0,79610.0,38.27,73340.0,35.26,46010.0,56720.0,95710.0,124470.0,2024
15-1232,        Computer user support specialists,729.5,702.5,-3.7,40.8,17.3,26.3,6.1,-0.0037642938909968615,Computer User Support Specialists,697210.0,64990.0,31.25,60340.0,29.01,38780.0,47580.0,77010.0,98010.0,2024
15-1240,      Database and network administrators and architects,655.6,668.4,2.0,33.3,12.5,19.6,4.8,0.0019354655854064706,Database and Network Administrators and Architects,633540.0,115840.0,55.69,107480.0,51.67,63580.0,81390.0,138940.0,172190.0,2024
15-1241,        Computer network architects,179.2,200.6,11.9,11.2,3.2,5.8,4.8,0.01134490835276769,Computer Network Architects,177010.0,135890.0,65.33,130390.0,62.69,79520.0,102120.0,164440.0,198030.0,2024
15-1242,        Database administrators,78.0,77.5,-0.7,3.8,1.6,2.2,4.9,-0.0006428822955960589,Database Administrators,73180.0,107440.0,51.65,104620.0,50.3,56820.0,76100.0,132850.0,160890.0,2024
15-1243,        Database architects,66.9,72.7,8.7,4.0,1.5,2.0,4.9,0.008348901037056544,Database Architects,64770.0,142620.0,68.57,135980.0,65.37,81630.0,107900.0,169480.0,209990.0,2024
15-1244,        Network and computer systems administrators,331.5,317.7,-4.2,14.3,6.1,9.5,4.8,-0.0042429997679178655,Network and Computer Systems Administrators,318570.0,101190.0,48.65,96800.0,46.54,60320.0,75860.0,123390.0,150320.0,2024
15-1250,"      Software and web developers, programmers, and testers",2231.5,2527.7,13.3,149.2,43.2,76.3,5.0,0.012541573423470398,"Software and Web Developers, Programmers, and Testers",2154370.0,135910.0,65.34,129320.0,62.17,71740.0,97560.0,165910.0,207830.0,2024
15-1251,        Computer programmers,121.2,113.9,-6.0,5.5,2.6,3.6,5.3,-0.006192864991551472,Computer Programmers,109870.0,103640.0,49.83,98670.0,47.44,52190.0,71860.0,128960.0,162090.0,2024
15-1252,        Software developers,1693.8,1961.4,15.8,115.2,30.7,57.7,4.8,0.014776506742768758,Software Developers,1654440.0,144570.0,69.5,133080.0,63.98,79850.0,103050.0,169000.0,211450.0,2024
15-1253,        Software quality assurance analysts and testers,201.7,221.9,10.0,14.0,5.0,7.0,5.7,0.009590232866924842,Software Quality Assurance Analysts and Testers,199800.0,110260.0,53.01,102610.0,49.33,60690.0,79520.0,131870.0,166960.0,2024
15-1254,        Web developers,86.0,92.5,7.5,5.4,1.7,3.1,5.4,0.007312743291873369,Web Developers,78860.0,98790.0,47.5,90930.0,43.72,48560.0,63140.0,124300.0,162870.0,2024
15-1255,        Web and digital interface designers,128.9,137.9,7.0,9.1,3.2,4.9,6.1,0.006772014577145491,Web and Digital Interface Designers,111400.0,111450.0,53.58,98090.0,47.16,47840.0,64990.0,141860.0,192180.0,2024
15-1299,"      Computer occupations, all other",472.0,510.5,8.2,31.3,11.5,15.9,5.6,0.007871987646402623,"Computer Occupations, All Other",439380.0,116700.0,56.11,108970.0,52.39,52650.0,76360.0,147530.0,176800.0,2024
15-2000,    Mathematical science occupations,431.1,547.9,27.1,37.7,11.1,14.9,5.3,0.024264988199878657,Mathematical Science Occupations,406230.0,117190.0,56.34,104620.0,50.3,60000.0,78300.0,140930.0,180180.0,2024
15-2011,      Actuaries,33.6,40.9,21.8,2.4,0.7,1.0,4.4,0.01985493807417127,Actuaries,28340.0,134990.0,64.9,125770.0,60.47,75240.0,90970.0,164860.0,206430.0,2024
15-2021,      Mathematicians,2.4,2.4,-0.7,0.1,0.0,0.1,5.3,0.0,Mathematicians,2220.0,122520.0,58.91,121680.0,58.5,63430.0,85720.0,153340.0,187660.0,2024
15-2031,      Operations research analysts,112.1,136.2,21.5,9.6,3.9,3.3,5.8,0.019664147953490918,Operations Research Analysts,107760.0,99120.0,47.66,91290.0,43.89,53910.0,66910.0,124120.0,159280.0,2024
15-2041,      Statisticians,32.2,34.9,8.5,2.0,0.7,1.1,5.3,0.008084542505914616,Statisticians,29800.0,112330.0,54.01,103300.0,49.66,60390.0,79210.0,137610.0,170700.0,2024
15-2051,      Data scientists,245.9,328.3,33.5,23.4,5.8,9.3,5.3,0.029321953122030564,Data Scientists,233440.0,124590.0,59.9,112590.0,54.13,63650.0,82630.0,155810.0,194410.0,2024
15-2099,"      Mathematical science occupations, all other",5.0,5.2,4.0,0.3,0.1,0.2,5.3,0.003929772702200518,"Mathematical Science Occupations, All Other",4660.0,84700.0,40.72,71490.0,34.37,40330.0,52440.0,101920.0,154140.0,2024
17-0000,  Architecture and engineering occupations,2648.4,2788.3,5.3,186.5,68.4,104.1,6.3,0.005160912571381848,Architecture and Engineering Occupations,2567210.0,103980.0,49.99,97310.0,46.79,55550.0,74040.0,128080.0,164360.0,2024
17-1000,"    Architects, surveyors, and cartographers",215.0,223.9,4.1,14.4,6.3,7.2,6.2,0.004064386855766822,"Architects, Surveyors, and Cartographers",196590.0,93330.0,44.87,82990.0,39.9,50410.0,64320.0,107020.0,139070.0,2024
17-1010,"      Architects, except naval",145.4,151.0,3.8,9.5,3.9,5.0,6.0,0.0037862770766028397,"Architects, Except Naval",130720.0,101090.0,48.6,94010.0,45.2,59280.0,74280.0,120910.0,157600.0,2024
