occ_code,occ_title,emp_2024,emp_2034,pct_change,annual_openings,labor_force_exits,occupational_transfers,total_separations,g_baseline
13-2053,        Insurance underwriters,127.0,123.7,-2.6,8.2,3.9,4.7,6.8,-0.0026293179784260268
13-2054,        Financial risk specialists,60.5,64.4,6.5,4.8,1.8,2.6,7.1,0.006266580174915548
13-2061,      Financial examiners,65.1,77.2,18.5,5.7,2.3,2.2,6.3,0.017193628498659796
13-2070,      Credit counselors and loan officers,333.2,339.3,1.8,22.5,9.0,12.9,6.5,0.0018158227628990442
13-2071,        Credit counselors,31.8,32.9,3.3,2.2,0.9,1.2,6.5,0.0034064255237613583
13-2072,        Loan officers,301.4,306.5,1.7,20.3,8.1,11.7,6.5,0.0016793554590261994
13-2080,"      Tax examiners, collectors and preparers, and revenue agents",148.2,151.2,2.1,14.7,6.8,7.5,9.6,0.0020060845889970924
13-2081,"        Tax examiners and collectors, and revenue agents",57.6,56.5,-1.8,4.3,2.1,2.3,7.7,-0.0019263351851472876
13-2082,        Tax preparers,90.6,94.7,4.5,10.4,4.7,5.2,10.8,0.004435787824397908
13-2099,"      Financial specialists, all other",137.1,141.4,3.1,10.3,4.0,5.9,7.1,0.0030929901431357987
15-0000,  Computer and mathematical occupations,5416.7,5962.3,10.1,355.4,117.6,183.2,5.3,0.00964315230564261
15-1200,    Computer occupations,4985.6,5414.4,8.6,317.7,106.5,168.3,5.3,0.008284963290375869
15-1210,      Computer and information analysts,703.8,801.4,13.9,50.2,17.6,22.9,5.4,0.013071289410115483
15-1211,        Computer systems analysts,521.1,566.5,8.7,34.2,13.8,15.9,5.5,0.00838849979163725
15-1212,        Information security analysts,182.8,234.9,28.5,16.0,3.7,7.0,5.2,0.02539378906541301
15-1221,      Computer and information research scientists,40.3,48.3,19.7,3.2,0.8,1.6,5.4,0.018272953267546743
15-1230,      Computer support specialists,882.3,858.0,-2.7,50.5,21.0,31.9,6.1,-0.0027889072263826975
15-1231,        Computer network support specialists,152.7,155.5,1.8,9.6,3.7,5.7,6.1,0.0018187037786865368
15-1232,        Computer user support specialists,729.5,702.5,-3.7,40.8,17.3,26.3,6.1,-0.0037642938909968615
15-1240,      Database and network administrators and architects,655.6,668.4,2.0,33.3,12.5,19.6,4.8,0.0019354655854064706
15-1241,        Computer network architects,179.2,200.6,11.9,11.2,3.2,5.8,4.8,0.01134490835276769
15-1242,        Database administrators,78.0,77.5,-0.7,3.8,1.6,2.2,4.9,-0.0006428822955960589
15-1243,        Database architects,66.9,72.7,8.7,4.0,1.5,2.0,4.9,0.008348901037056544
15-1244,        Network and computer systems administrators,331.5,317.7,-4.2,14.3,6.1,9.5,4.8,-0.0042429997679178655
15-1250,"      Software and web developers, programmers, and testers",2231.5,2527.7,13.3,149.2,43.2,76.3,5.0,0.012541573423470398
15-1251,        Computer programmers,121.2,113.9,-6.0,5.5,2.6,3.6,5.3,-0.006192864991551472
15-1252,        Software developers,1693.8,1961.4,15.8,115.2,30.7,57.7,4.8,0.014776506742768758
15-1253,        Software quality assurance analysts and testers,201.7,221.9,10.0,14.0,5.0,7.0,5.7,0.009590232866924842
15-1254,        Web developers,86.0,92.5,7.5,5.4,1.7,3.1,5.4,0.007312743291873369
15-1255,        Web and digital interface designers,128.9,137.9,7.0,9.1,3.2,4.9,6.1,0.006772014577145491
15-1299,"      Computer occupations, all other",472.0,510.5,8.2,31.3,11.5,15.9,5.6,0.007871987646402623
15-2000,    Mathematical science occupations,431.1,547.9,27.1,37.7,11.1,14.9,5.3,0.024264988199878657
15-2011,      Actuaries,33.6,40.9,21.8,2.4,0.7,1.0,4.4,0.01985493807417127
15-2021,      Mathematicians,2.4,2.4,-0.7,0.1,0.0,0.1,5.3,0.0
15-2031,      Operations research analysts,112.1,136.2,21.5,9.6,3.9,3.3,5.8,0.019664147953490918
15-2041,      Statisticians,32.2,34.9,8.5,2.0,0.7,1.1,5.3,0.008084542505914616
15-2051,      Data scientists,245.9,328.3,33.5,23.4,5.8,9.3,5.3,0.029321953122030564
15-2099,"      Mathematical science occupations, all other",5.0,5.2,4.0,0.3,0.1,0.2,5.3,0.003929772702200518
17-0000,  Architecture and engineering occupations,2648.4,2788.3,5.3,186.5,68.4,104.1,6.3,0.005160912571381848
17-1000,"    Architects, surveyors, and cartographers",215.0,223.9,4.1,14.4,6.3,7.2,6.2,0.004064386855766822
17-1010,"      Architects, except naval",145.4,151.0,3.8,9.5,3.9,5.0,6.0,0.0037862770766028397
17-1011,"        Architects, except landscape and naval",123.6,128.4,3.9,7.8,3.1,4.2,5.8,0.0038172518410399814
17-1012,        Landscape architects,21.8,22.6,3.5,1.7,0.7,0.9,7.3,0.003610495842370387
17-1020,"      Surveyors, cartographers, and photogrammetrists",69.6,72.9,4.8,4.9,2.4,2.2,6.4,0.004643153352667184
17-1021,        Cartographers and photogrammetrists,13.4,14.3,6.4,1.0,0.5,0.4,6.4,0.006521657026251848
17-1022,        Surveyors,56.1,58.6,4.4,3.9,1.9,1.8,6.4,0.004369406546536059
17-2000,    Engineers,1790.3,1913.3,6.9,114.6,39.7,62.6,5.5,0.00666675416080631
17-2011,      Aerospace engineers,71.6,75.9,6.1,4.5,1.8,2.3,5.5,0.005849201205600618
17-2021,      Agricultural engineers,1.7,1.8,5.9,0.1,0.0,0.1,5.4,0.00573220797344276
17-2031,      Bioengineers and biomedical engineers,22.2,23.3,5.2,1.3,0.5,0.8,5.4,0.004847820009523662
17-2041,      Chemical engineers,21.6,22.1,2.6,1.1,0.4,0.7,4.8,0.002291049836406156
17-2051,      Civil engineers,368.9,387.5,5.0,23.6,7.8,14.0,5.8,0.0049311426815568105
17-2061,      Computer hardware engineers,76.8,82.4,7.3,4.7,1.6,2.6,5.2,0.007062905166027811
17-2070,      Electrical and electronics engineers,287.9,307.6,6.9,17.5,6.6,8.9,5.2,0.006640656027260716
17-2071,        Electrical engineers,192.0,205.7,7.2,11.7,4.4,5.9,5.2,0.0069161493189995316
17-2072,"        Electronics engineers, except computer",95.9,101.8,6.2,5.7,2.2,2.9,5.2,0.005988270656805517
17-2081,      Environmental engineers,39.4,41.0,3.9,3.0,1.3,1.5,7.0,0.003988558250783036
17-2110,"      Industrial engineers, including health and safety",374.9,414.5,10.6,26.8,8.5,14.2,5.8,0.01009194875766073
17-2111,"        Health and safety engineers, except mining safety engineers and inspectors",23.8,24.9,4.4,1.5,0.5,0.9,5.8,0.0045284448357347795
17-2112,        Industrial engineers,351.1,389.6,11.0,25.2,8.0,13.4,5.8,0.010459268574265268
17-2121,      Marine engineers and naval architects,8.5,9.0,5.8,0.6,0.2,0.3,6.6,0.00573220797344276
17-2131,      Materials engineers,23.0,24.3,5.7,1.5,0.6,0.7,5.6,0.005513356357534471
17-2141,      Mechanical engineers,293.1,319.6,9.1,18.1,5.8,9.7,5.1,0.00869320495455006
17-2151,"      Mining and geological engineers, including mining safety engineers",7.0,7.0,0.7,0.4,0.1,0.3,6.0,0.0
17-2161,      Nuclear engineers,15.4,15.3,-1.1,0.8,0.4,0.5,5.6,-0.0006512559428495379
17-2171,      Petroleum engineers,19.6,19.8,1.3,1.2,0.4,0.8,6.0,0.0010157526740797174
17-2199,"      Engineers, all other",158.8,162.1,2.1,9.3,3.7,5.3,5.6,0.0020589046321939364
17-3000,"    Drafters, engineering technicians, and mapping technicians",643.1,651.2,1.3,57.5,22.5,34.3,8.8,0.0012524418057398012
17-3010,      Drafters,192.1,191.5,-0.3,16.2,7.0,9.3,8.5,-0.0003127771903935761
17-3011,        Architectural and civil drafters,110.5,115.1,4.1,10.0,4.3,5.2,8.4,0.004086908201550221
17-3012,        Electrical and electronics drafters,21.6,20.4,-5.6,1.7,0.7,1.1,8.5,-0.0056995370417669555
17-3013,        Mechanical drafters,42.9,40.1,-6.5,3.3,1.4,2.1,8.5,-0.006726822116383313
17-3019,"        Drafters, all other",17.1,15.9,-6.9,1.3,0.6,0.8,8.5,-0.007249529890538731
17-3020,"      Engineering technologists and technicians, except drafters",391.6,397.7,1.5,33.7,13.3,19.9,8.4,0.0015468993721350355
17-3021,        Aerospace engineering and operations technologists and technicians,9.3,10.1,8.1,0.9,0.3,0.5,8.3,0.008286244816592125
17-3022,        Civil engineering technologists and technicians,64.9,66.2,2.1,5.5,2.1,3.3,8.3,0.001985251931676757
17-3023,        Electrical and electronic engineering technologists and technicians,93.7,94.3,0.6,8.4,3.6,4.7,8.8,0.0006385037963241302
17-3024,        Electro-mechanical and mechatronics technologists and technicians,15.0,15.1,1.1,1.3,0.5,0.8,8.3,0.0006646750705072701
17-3025,        Environmental engineering technologists and technicians,12.9,13.0,1.2,1.1,0.4,0.7,8.3,0.0007725028361293962
17-3026,        Industrial engineering technologists and technicians,74.6,75.9,1.7,6.3,2.4,3.8,8.3,0.0017291109104429214
17-3027,        Mechanical engineering technologists and technicians,38.3,38.3,0.0,3.2,1.2,1.9,8.3,0.0
17-3028,        Calibration technologists and technicians,15.8,16.5,4.7,1.4,0.5,0.8,8.3,0.004344453983505803
17-3029,"        Engineering technologists and technicians, except drafters, all other",67.3,68.3,1.5,5.7,2.2,3.4,8.3,0.0014760412707586212
17-3031,      Surveying and mapping technicians,59.4,62.1,4.5,7.6,2.2,5.2,12.1,0.004455070708489384
19-0000,"  Life, physical, and social science occupations",1609.5,1690.4,5.0,144.7,33.3,103.4,8.3,0.004916206638877485
19-1000,    Life scientists,404.8,428.8,5.9,28.4,7.0,18.9,6.2,0.005776368425877365
19-1010,      Agricultural and food scientists,38.7,41.0,5.9,3.1,0.6,2.3,7.3,0.005789943972485112
19-1011,        Animal scientists,2.8,2.9,5.8,0.2,0.0,0.2,7.3,0.003515296192992734
19-1012,        Food scientists and technologists,15.2,16.2,6.5,1.2,0.2,0.9,7.3,0.006391923143619582
19-1013,        Soil and plant scientists,20.7,21.8,5.4,1.7,0.3,1.2,7.3,0.005191054026258746
19-1020,      Biological scientists,138.3,142.3,2.9,10.8,2.8,7.7,7.4,0.0028552952551195165
19-1021,        Biochemists and biophysicists,35.6,37.6,5.8,2.9,0.7,2.0,7.4,0.005480806217039724
19-1022,        Microbiologists,20.7,21.6,4.1,1.7,0.4,1.2,7.4,0.004265030907644629
19-1023,        Zoologists and wildlife biologists,18.2,18.5,1.6,1.4,0.4,1.0,7.4,0.001636251000356248
19-1029,"        Biological scientists, all other",63.7,64.5,1.2,4.8,1.3,3.5,7.4,0.001248845280997335
19-1030,      Conservation scientists and foresters,42.4,43.5,2.7,3.6,1.1,2.4,8.1,0.002564540408002358
19-1031,        Conservation scientists,28.5,29.5,3.4,2.5,0.7,1.6,8.1,0.0034545709304283356
19-1032,        Foresters,13.8,14.0,1.2,1.1,0.3,0.8,8.1,0.001439909420713148
19-1040,      Medical scientists,177.6,194.0,9.2,10.4,2.5,6.3,4.7,0.008871553878681881
19-1041,        Epidemiologists,12.3,14.3,16.2,0.8,0.2,0.4,4.7,0.015180092194978956
19-1042,"        Medical scientists, except epidemiologists",165.3,179.6,8.7,9.6,2.3,5.8,4.7,0.008331530726773284
19-1099,"      Life scientists, all other",7.8,8.1,3.7,0.4,0.1,0.3,4.7,0.0037811634276536665
19-2000,    Physical scientists,284.9,295.7,3.8,22.4,5.4,16.0,7.3,0.0037276490014388486
19-2010,      Astronomers and physicists,26.4,27.4,3.9,1.8,0.6,1.0,6.2,0.003724820288840913
19-2011,        Astronomers,1.8,1.8,2.2,0.1,0.0,0.1,6.2,0.0
19-2012,        Physicists,24.6,25.6,4.0,1.7,0.6,1.0,6.2,0.003992539891239044
19-2021,      Atmospheric and space scientists,9.4,9.5,0.7,0.7,0.2,0.5,7.6,0.001058771035794548
19-2030,      Chemists and materials scientists,95.5,100.2,4.9,7.0,1.6,4.9,6.6,0.004815752759537606
19-2031,        Chemists,86.8,91.0,4.9,6.3,1.5,4.4,6.6,0.004736470266130999
19-2032,        Materials scientists,8.7,9.1,4.9,0.6,0.1,0.4,6.6,0.004505257077941138
19-2040,      Environmental scientists and geoscientists,121.7,126.5,4.0,11.0,2.4,8.0,8.5,0.003875822466009371
19-2041,"        Environmental scientists and specialists, including health",90.3,94.3,4.4,8.5,1.8,6.3,8.8,0.004343779902169276
19-2042,"        Geoscientists, except hydrologists and geographers",25.1,26.0,3.2,2.0,0.5,1.4,7.5,0.003529081785279997
19-2043,        Hydrologists,6.3,6.3,-0.1,0.5,0.1,0.3,7.5,0.0
19-2099,"      Physical scientists, all other",31.9,32.1,0.6,2.0,0.5,1.5,6.1,0.0006251973889854767
19-3000,    Social scientists and related workers,339.9,352.5,3.7,23.1,8.5,13.3,6.3,0.0036465490961463676
19-3011,      Economists,17.6,17.8,1.2,0.9,0.3,0.7,5.2,0.0011305941656603036
19-3022,      Survey researchers,8.8,8.3,-5.2,0.7,0.2,0.5,8.2,-0.005832544948897733
19-3030,      Psychologists,204.3,216.0,5.8,12.9,5.9,5.7,5.6,0.005584425681600003
19-3032,        Industrial-organizational psychologists,5.6,5.9,6.3,0.4,0.2,0.2,6.4,0.005232215798865125
19-3033,        Clinical and counseling psychologists,76.3,84.8,11.2,4.8,2.2,1.8,4.9,0.010618238033335725
19-3034,        School psychologists,67.2,67.7,0.7,3.8,1.5,2.3,5.6,0.0007415680646503109
19-3039,"        Psychologists, all other",55.3,57.7,4.3,3.9,2.1,1.5,6.4,0.004257463856084165
19-3041,      Sociologists,3.4,3.6,3.6,0.3,0.1,0.2,8.2,0.00573220797344276
19-3051,      Urban and regional planners,44.7,46.2,3.4,3.4,0.8,2.4,7.1,0.003306082722727144
19-3090,      Miscellaneous social scientists and related workers,61.0,60.5,-0.9,4.9,1.2,3.7,8.2,-0.0008227113009761089
19-3091,        Anthropologists and archeologists,8.8,9.2,3.7,0.8,0.2,0.6,8.2,0.004455070708489384
19-3092,        Geographers,1.5,1.5,-3.1,0.1,0.0,0.1,8.2,0.0
19-3093,        Historians,3.4,3.5,2.2,0.3,0.1,0.2,8.2,0.0029029591363336493
19-3094,        Political scientists,6.5,6.3,-3.1,0.5,0.1,0.4,8.2,-0.003120375826565658
19-3099,"        Social scientists and related workers, all other",40.8,40.1,-1.7,3.2,0.8,2.5,8.2,-0.0017290781287857548
19-4000,"    Life, physical, and social science technicians",416.2,430.5,3.4,52.6,9.1,42.1,12.1,0.003383853339664178
19-4010,      Agricultural and food science technicians,38.9,40.7,4.6,6.1,0.8,5.1,14.9,0.004533630127602661
19-4012,        Agricultural technicians,18.6,19.4,4.3,2.9,0.4,2.4,14.9,0.00422002788071052
19-4013,        Food science technicians,20.4,21.3,4.8,3.2,0.4,2.7,14.9,0.004326549794103407
19-4021,      Biological technicians,82.7,85.6,3.5,9.1,1.7,7.1,10.4,0.0034525143570969252
19-4031,      Chemical technicians,57.0,59.0,3.7,6.7,1.1,5.5,11.3,0.0034545709304283356
19-4040,      Environmental science and geoscience technicians,53.4,55.1,3.2,7.3,1.2,5.9,13.2,0.0031388128083864597
19-4042,"        Environmental science and protection technicians, including health",40.4,42.1,4.0,5.6,0.9,4.5,13.2,0.004130301854529339
19-4043,"        Geological technicians, except hydrologic technicians",9.8,10.0,1.5,1.3,0.2,1.1,13.2,0.0020223128536482893
19-4044,        Hydrologic technicians,3.1,3.0,-2.1,0.4,0.1,0.3,13.2,-0.0032736122908676446
19-4051,      Nuclear technicians,6.0,5.5,-7.7,0.7,0.1,0.6,13.2,-0.008663392355479416
19-4061,      Social science research assistants,40.6,42.3,4.4,5.2,1.0,4.1,12.2,0.004110326258867536
19-4071,      Forest and conservation technicians,33.8,32.7,-3.2,3.9,0.8,3.3,12.2,-0.0033031051640285414
19-4090,"      Miscellaneous life, physical, and social science technicians",103.9,109.5,5.4,13.5,2.5,10.5,12.2,0.005263368224957654
19-4092,        Forensic science technicians,20.7,23.3,12.8,2.9,0.5,2.2,12.2,0.0119022406288265
19-4099,"        Life, physical, and social science technicians, all other",83.2,86.2,3.5,10.6,2.0,8.3,12.2,0.003548564283141653
19-5000,    Occupational health and safety specialists and technicians,163.7,183.0,11.7,18.3,3.2,13.2,9.4,0.01120740447436952
19-5011,      Occupational health and safety specialists,131.9,148.4,12.5,14.9,2.6,10.6,9.4,0.011856464290619373
19-5012,      Occupational health and safety technicians,31.9,34.6,8.5,3.4,0.6,2.5,9.4,0.008157862718873199
21-0000,  Community and social service occupations,3196.9,3409.2,6.6,313.7,133.0,159.5,8.9,0.006450321234015677
21-1000,"    Counselors, social workers, and other community and social service specialists",2707.5,2913.8,7.6,265.8,108.8,136.3,8.7,0.007370264816671135
21-1010,      Counselors,1098.6,1212.8,10.4,104.4,41.5,51.5,8.0,0.009938572198321616
21-1012,"        Educational, guidance, and career counselors and advisors",376.3,389.6,3.5,31.0,12.8,16.8,7.7,0.0034794266171092048
21-1013,        Marriage and family therapists,77.8,87.7,12.6,7.7,3.7,3.0,8.1,0.012050070904197296
21-1015,        Rehabilitation counselors,91.9,93.2,1.4,10.0,4.9,5.0,10.6,0.0014056562429041186
21-1018,"        Substance abuse, behavioral disorder, and mental health counselors",483.5,564.6,16.8,48.3,17.2,23.0,7.7,0.0156274715839686
21-1019,"        Counselors, all other",69.1,77.8,12.6,7.4,2.9,3.7,9.0,0.011929262838229704
21-1020,      Social workers,810.9,855.6,5.5,74.0,32.4,37.1,8.3,0.005380245340260936
21-1021,"        Child, family, and school social workers",399.9,413.3,3.4,35.1,15.5,18.2,8.3,0.003301358084916828
21-1022,        Healthcare social workers,193.2,208.1,7.7,18.4,7.3,9.6,8.4,0.007456946740760362
21-1023,        Mental health and substance abuse social workers,136.8,150.1,9.7,13.5,6.8,5.4,8.5,0.009321349022573644
21-1029,"        Social workers, all other",81.0,84.1,3.9,7.0,2.7,3.9,8.1,0.003762802864531123
21-1090,      Miscellaneous community and social service specialists,798.0,845.4,5.9,87.4,35.0,47.7,10.1,0.00578680832808276
21-1091,        Health education specialists,71.8,75.0,4.5,7.9,3.4,4.2,10.3,0.004369883966396815
21-1092,        Probation officers and correctional treatment specialists,92.3,94.8,2.6,7.9,2.7,5.0,8.2,0.002676101158401334
21-1093,        Social and human service assistants,449.6,478.5,6.4,50.6,20.2,27.5,10.3,0.0062492367402606774
21-1094,        Community health workers,65.1,72.5,11.3,7.8,3.2,4.0,10.3,0.010824365357480659
21-1099,"        Community and social service specialists, all other",119.2,124.7,4.6,13.1,5.6,7.0,10.3,0.0045209988225034525
21-2000,    Religious workers,489.4,495.4,1.2,47.9,24.2,23.2,9.6,0.0012192793220426879
21-2011,      Clergy,262.0,264.6,1.0,23.0,11.9,10.8,8.6,0.0009879625057300778
21-2021,"      Directors, religious activities and education",138.9,141.8,2.1,13.8,6.3,7.3,9.7,0.0020684727781170587
21-2099,"      Religious workers, all other",88.4,89.0,0.6,11.1,6.0,5.1,12.5,0.0006766688459922676
23-0000,  Legal occupations,1418.2,1456.5,2.7,83.8,32.3,47.6,5.6,0.002668337244556618
23-1000,"    Lawyers, judges, and related workers",933.2,970.4,4.0,34.4,17.0,13.6,3.2,0.003916531390452116
23-1010,      Lawyers and judicial law clerks,879.3,915.5,4.1,32.5,16.0,12.9,3.2,0.0040425720119894315
