area_code,area_title,area_type,occ_code,occ_title,emp,a_mean,h_mean,a_median,h_median,a_pct10,a_pct25,a_pct75,a_pct90,oews_year,emp_2024,emp_2034,pct_change,annual_openings,labor_force_exits,occupational_transfers,total_separations,g_baseline
12,Florida,2,47-2111,Electricians,47980.0,55490.0,26.68,53100.0,25.53,37890.0,46880.0,61040.0,71920.0,2024,818.7,896.1,9.5,81.0,27.0,46.2,8.5,0.009074354314209776
13,Georgia,2,47-2111,Electricians,20740.0,61590.0,29.61,58860.0,28.3,37320.0,46900.0,76310.0,86640.0,2024,818.7,896.1,9.5,81.0,27.0,46.2,8.5,0.009074354314209776
15,Hawaii,2,47-2111,Electricians,3020.0,86690.0,41.68,83200.0,40.0,43960.0,59940.0,115930.0,121050.0,2024,818.7,896.1,9.5,81.0,27.0,46.2,8.5,0.009074354314209776
16,Idaho,2,47-2111,Electricians,5380.0,62180.0,29.89,60670.0,29.17,38220.0,46820.0,77420.0,89890.0,2024,818.7,896.1,9.5,81.0,27.0,46.2,8.5,0.009074354314209776
17,Illinois,2,47-2111,Electricians,22880.0,89190.0,42.88,96360.0,46.33,48770.0,67690.0,108230.0,120120.0,2024,818.7,896.1,9.5,81.0,27.0,46.2,8.5,0.009074354314209776
18,Indiana,2,47-2111,Electricians,17370.0,67890.0,32.64,65480.0,31.48,39940.0,49330.0,82900.0,94730.0,2024,818.7,896.1,9.5,81.0,27.0,46.2,8.5,0.009074354314209776
19,Iowa,2,47-2111,Electricians,8900.0,63910.0,30.72,62880.0,30.23,38950.0,48010.0,80200.0,86890.0,2024,818.7,896.1,9.5,81.0,27.0,46.2,8.5,0.009074354314209776
20,Kansas,2,47-2111,Electricians,5640.0,65470.0,31.48,61830.0,29.73,37890.0,48600.0,79830.0,94400.0,2024,818.7,896.1,9.5,81.0,27.0,46.2,8.5,0.009074354314209776
21,Kentucky,2,47-2111,Electricians,10320.0,60660.0,29.17,59490.0,28.6,37130.0,47030.0,76770.0,82890.0,2024,818.7,896.1,9.5,81.0,27.0,46.2,8.5,0.009074354314209776
22,Louisiana,2,47-2111,Electricians,10810.0,59530.0,28.62,59590.0,28.65,38530.0,48280.0,66350.0,77900.0,2024,818.7,896.1,9.5,81.0,27.0,46.2,8.5,0.009074354314209776
23,Maine,2,47-2111,Electricians,3320.0,71460.0,34.36,67820.0,32.61,52600.0,62200.0,77480.0,94290.0,2024,818.7,896.1,9.5,81.0,27.0,46.2,8.5,0.009074354314209776
24,Maryland,2,47-2111,Electricians,14750.0,72390.0,34.8,65650.0,31.56,44480.0,50550.0,91340.0,108460.0,2024,818.7,896.1,9.5,81.0,27.0,46.2,8.5,0.009074354314209776
25,Massachusetts,2,47-2111,Electricians,16570.0,82140.0,39.49,82120.0,39.48,47280.0,58970.0,100420.0,122990.0,2024,818.7,896.1,9.5,81.0,27.0,46.2,8.5,0.009074354314209776
26,Michigan,2,47-2111,Electricians,24670.0,71060.0,34.17,72680.0,34.94,39090.0,48890.0,86750.0,101400.0,2024,818.7,896.1,9.5,81.0,27.0,46.2,8.5,0.009074354314209776
27,Minnesota,2,47-2111,Electricians,12970.0,83030.0,39.92,81430.0,39.15,47470.0,60860.0,102820.0,114300.0,2024,818.7,896.1,9.5,81.0,27.0,46.2,8.5,0.009074354314209776
28,Mississippi,2,47-2111,Electricians,5650.0,54810.0,26.35,57300.0,27.55,36850.0,45160.0,60870.0,72520.0,2024,818.7,896.1,9.5,81.0,27.0,46.2,8.5,0.009074354314209776
29,Missouri,2,47-2111,Electricians,12660.0,71230.0,34.24,70950.0,34.11,39240.0,48740.0,91690.0,101620.0,2024,818.7,896.1,9.5,81.0,27.0,46.2,8.5,0.009074354314209776
30,Montana,2,47-2111,Electricians,2830.0,68080.0,32.73,68980.0,33.16,48030.0,54980.0,78540.0,85520.0,2024,818.7,896.1,9.5,81.0,27.0,46.2,8.5,0.009074354314209776
31,Nebraska,2,47-2111,Electricians,6210.0,61890.0,29.76,60020.0,28.86,38800.0,47640.0,76590.0,91060.0,2024,818.7,896.1,9.5,81.0,27.0,46.2,8.5,0.009074354314209776
32,Nevada,2,47-2111,Electricians,8570.0,72120.0,34.67,64950.0,31.22,45180.0,47840.0,91930.0,114380.0,2024,818.7,896.1,9.5,81.0,27.0,46.2,8.5,0.009074354314209776
33,New Hampshire,2,47-2111,Electricians,3480.0,63440.0,30.5,61990.0,29.8,38040.0,48120.0,76370.0,90270.0,2024,818.7,896.1,9.5,81.0,27.0,46.2,8.5,0.009074354314209776
34,New Jersey,2,47-2111,Electricians,15230.0,80090.0,38.51,73090.0,35.14,38470.0,58410.0,109760.0,129190.0,2024,818.7,896.1,9.5,81.0,27.0,46.2,8.5,0.009074354314209776
35,New Mexico,2,47-2111,Electricians,5090.0,59420.0,28.57,56890.0,27.35,36590.0,45050.0,73470.0,84460.0,2024,818.7,896.1,9.5,81.0,27.0,46.2,8.5,0.009074354314209776
36,New York,2,47-2111,Electricians,40380.0,83350.0,40.07,77460.0,37.24,47140.0,60310.0,103390.0,132450.0,2024,818.7,896.1,9.5,81.0,27.0,46.2,8.5,0.009074354314209776
37,North Carolina,2,47-2111,Electricians,23660.0,55370.0,26.62,54070.0,26.0,38700.0,47000.0,61380.0,72170.0,2024,818.7,896.1,9.5,81.0,27.0,46.2,8.5,0.009074354314209776
38,North Dakota,2,47-2111,Electricians,3150.0,70330.0,33.81,65820.0,31.65,39830.0,52640.0,81860.0,101400.0,2024,818.7,896.1,9.5,81.0,27.0,46.2,8.5,0.009074354314209776
39,Ohio,2,47-2111,Electricians,27150.0,65970.0,31.71,63560.0,30.56,37710.0,48380.0,79890.0,93630.0,2024,818.7,896.1,9.5,81.0,27.0,46.2,8.5,0.009074354314209776
40,Oklahoma,2,47-2111,Electricians,8550.0,62850.0,30.21,60050.0,28.87,37080.0,47640.0,75200.0,88840.0,2024,818.7,896.1,9.5,81.0,27.0,46.2,8.5,0.009074354314209776
41,Oregon,2,47-2111,Electricians,9830.0,91950.0,44.21,97320.0,46.79,51740.0,70680.0,116140.0,120880.0,2024,818.7,896.1,9.5,81.0,27.0,46.2,8.5,0.009074354314209776
42,Pennsylvania,2,47-2111,Electricians,21860.0,73510.0,35.34,65400.0,31.44,44760.0,51910.0,87670.0,109320.0,2024,818.7,896.1,9.5,81.0,27.0,46.2,8.5,0.009074354314209776
44,Rhode Island,2,47-2111,Electricians,2300.0,70760.0,34.02,70160.0,33.73,42280.0,47530.0,88630.0,103880.0,2024,818.7,896.1,9.5,81.0,27.0,46.2,8.5,0.009074354314209776
45,South Carolina,2,47-2111,Electricians,7830.0,58420.0,28.09,58260.0,28.01,39910.0,47200.0,65010.0,76230.0,2024,818.7,896.1,9.5,81.0,27.0,46.2,8.5,0.009074354314209776
46,South Dakota,2,47-2111,Electricians,2790.0,57660.0,27.72,58550.0,28.15,41450.0,46890.0,64630.0,77980.0,2024,818.7,896.1,9.5,81.0,27.0,46.2,8.5,0.009074354314209776
47,Tennessee,2,47-2111,Electricians,19500.0,59530.0,28.62,59190.0,28.46,38360.0,47220.0,68240.0,80800.0,2024,818.7,896.1,9.5,81.0,27.0,46.2,8.5,0.009074354314209776
48,Texas,2,47-2111,Electricians,71880.0,57250.0,27.52,56920.0,27.36,37170.0,46010.0,65110.0,78100.0,2024,818.7,896.1,9.5,81.0,27.0,46.2,8.5,0.009074354314209776
49,Utah,2,47-2111,Electricians,11360.0,63010.0,30.3,61430.0,29.53,38230.0,47720.0,78000.0,82410.0,2024,818.7,896.1,9.5,81.0,27.0,46.2,8.5,0.009074354314209776
50,Vermont,2,47-2111,Electricians,1410.0,61220.0,29.43,59670.0,28.69,39130.0,50480.0,71640.0,79450.0,2024,818.7,896.1,9.5,81.0,27.0,46.2,8.5,0.009074354314209776
51,Virginia,2,47-2111,Electricians,24300.0,66630.0,32.03,61610.0,29.62,38380.0,48890.0,76550.0,110720.0,2024,818.7,896.1,9.5,81.0,27.0,46.2,8.5,0.009074354314209776
53,Washington,2,47-2111,Electricians,18380.0,93840.0,45.12,96530.0,46.41,54800.0,69520.0,115970.0,133310.0,2024,818.7,896.1,9.5,81.0,27.0,46.2,8.5,0.009074354314209776
54,West Virginia,2,47-2111,Electricians,4010.0,65890.0,31.68,63850.0,30.7,38340.0,48160.0,82440.0,88960.0,2024,818.7,896.1,9.5,81.0,27.0,46.2,8.5,0.009074354314209776
55,Wisconsin,2,47-2111,Electricians,12630.0,72760.0,34.98,75090.0,36.1,46140.0,56340.0,91030.0,99160.0,2024,818.7,896.1,9.5,81.0,27.0,46.2,8.5,0.009074354314209776
56,Wyoming,2,47-2111,Electricians,2710.0,72260.0,34.74,73450.0,35.31,47960.0,56980.0,82670.0,105350.0,2024,818.7,896.1,9.5,81.0,27.0,46.2,8.5,0.009074354314209776
8,Colorado,2,47-2111,Electricians,17140.0,64620.0,31.07,62090.0,29.85,42360.0,48350.0,77440.0,90120.0,2024,818.7,896.1,9.5,81.0,27.0,46.2,8.5,0.009074354314209776
1,Alabama,2,47-3013,Helpers--Electricians,2220.0,36390.0,17.49,35860.0,17.24,29140.0,31060.0,39440.0,46000.0,2024,66.6,66.7,0.2,6.8,2.2,4.6,10.2,0.00015004879371782742
4,Arizona,2,47-3013,Helpers--Electricians,840.0,45250.0,21.75,45410.0,21.83,36910.0,41280.0,49090.0,53410.0,2024,66.6,66.7,0.2,6.8,2.2,4.6,10.2,0.00015004879371782742
5,Arkansas,2,47-3013,Helpers--Electricians,350.0,38850.0,18.68,38860.0,18.69,26940.0,31380.0,45650.0,48840.0,2024,66.6,66.7,0.2,6.8,2.2,4.6,10.2,0.00015004879371782742
6,California,2,47-3013,Helpers--Electricians,1790.0,52760.0,25.36,47540.0,22.86,36990.0,38650.0,58940.0,80410.0,2024,66.6,66.7,0.2,6.8,2.2,4.6,10.2,0.00015004879371782742
9,Connecticut,2,47-3013,Helpers--Electricians,590.0,51870.0,24.94,48350.0,23.25,36400.0,41250.0,59480.0,77500.0,2024,66.6,66.7,0.2,6.8,2.2,4.6,10.2,0.00015004879371782742
10,Delaware,2,47-3013,Helpers--Electricians,90.0,39490.0,18.99,38770.0,18.64,29810.0,31930.0,46950.0,52430.0,2024,66.6,66.7,0.2,6.8,2.2,4.6,10.2,0.00015004879371782742
11,District of Columbia,2,47-3013,Helpers--Electricians,280.0,46380.0,22.3,47510.0,22.84,39830.0,39830.0,47520.0,55580.0,2024,66.6,66.7,0.2,6.8,2.2,4.6,10.2,0.00015004879371782742
12,Florida,2,47-3013,Helpers--Electricians,7400.0,38890.0,18.7,37590.0,18.07,32190.0,35960.0,40080.0,46900.0,2024,66.6,66.7,0.2,6.8,2.2,4.6,10.2,0.00015004879371782742
13,Georgia,2,47-3013,Helpers--Electricians,3380.0,39970.0,19.21,37300.0,17.93,30050.0,34860.0,45250.0,51010.0,2024,66.6,66.7,0.2,6.8,2.2,4.6,10.2,0.00015004879371782742
15,Hawaii,2,47-3013,Helpers--Electricians,,48190.0,23.17,45650.0,21.95,41050.0,45650.0,50110.0,58690.0,2024,66.6,66.7,0.2,6.8,2.2,4.6,10.2,0.00015004879371782742
16,Idaho,2,47-3013,Helpers--Electricians,340.0,47310.0,22.75,46970.0,22.58,36800.0,38600.0,56520.0,59840.0,2024,66.6,66.7,0.2,6.8,2.2,4.6,10.2,0.00015004879371782742
17,Illinois,2,47-3013,Helpers--Electricians,350.0,38080.0,18.31,31020.0,14.91,29120.0,29120.0,44320.0,50640.0,2024,66.6,66.7,0.2,6.8,2.2,4.6,10.2,0.00015004879371782742
18,Indiana,2,47-3013,Helpers--Electricians,990.0,41710.0,20.05,39420.0,18.95,31590.0,36000.0,47540.0,51420.0,2024,66.6,66.7,0.2,6.8,2.2,4.6,10.2,0.00015004879371782742
19,Iowa,2,47-3013,Helpers--Electricians,320.0,44620.0,21.45,42010.0,20.2,34090.0,37100.0,50630.0,58770.0,2024,66.6,66.7,0.2,6.8,2.2,4.6,10.2,0.00015004879371782742
20,Kansas,2,47-3013,Helpers--Electricians,240.0,36730.0,17.66,33550.0,16.13,26720.0,28340.0,45130.0,57060.0,2024,66.6,66.7,0.2,6.8,2.2,4.6,10.2,0.00015004879371782742
21,Kentucky,2,47-3013,Helpers--Electricians,740.0,39660.0,19.07,37930.0,18.24,31200.0,35530.0,43690.0,48330.0,2024,66.6,66.7,0.2,6.8,2.2,4.6,10.2,0.00015004879371782742
22,Louisiana,2,47-3013,Helpers--Electricians,2900.0,41450.0,19.93,39050.0,18.77,27920.0,35620.0,48200.0,55310.0,2024,66.6,66.7,0.2,6.8,2.2,4.6,10.2,0.00015004879371782742
23,Maine,2,47-3013,Helpers--Electricians,1100.0,50260.0,24.17,45230.0,21.75,39910.0,43490.0,50780.0,61410.0,2024,66.6,66.7,0.2,6.8,2.2,4.6,10.2,0.00015004879371782742
24,Maryland,2,47-3013,Helpers--Electricians,1320.0,45790.0,22.02,45460.0,21.85,35550.0,37860.0,49920.0,58330.0,2024,66.6,66.7,0.2,6.8,2.2,4.6,10.2,0.00015004879371782742
25,Massachusetts,2,47-3013,Helpers--Electricians,1040.0,46950.0,22.57,46810.0,22.51,39060.0,41300.0,47050.0,59560.0,2024,66.6,66.7,0.2,6.8,2.2,4.6,10.2,0.00015004879371782742
26,Michigan,2,47-3013,Helpers--Electricians,190.0,43410.0,20.87,40220.0,19.34,35460.0,38490.0,44290.0,59260.0,2024,66.6,66.7,0.2,6.8,2.2,4.6,10.2,0.00015004879371782742
28,Mississippi,2,47-3013,Helpers--Electricians,600.0,36930.0,17.76,36580.0,17.59,30440.0,31200.0,41140.0,45530.0,2024,66.6,66.7,0.2,6.8,2.2,4.6,10.2,0.00015004879371782742
29,Missouri,2,47-3013,Helpers--Electricians,460.0,57930.0,27.85,56870.0,27.34,28300.0,31200.0,81640.0,89760.0,2024,66.6,66.7,0.2,6.8,2.2,4.6,10.2,0.00015004879371782742
30,Montana,2,47-3013,Helpers--Electricians,40.0,36160.0,17.39,35360.0,17.0,31200.0,34830.0,36830.0,43380.0,2024,66.6,66.7,0.2,6.8,2.2,4.6,10.2,0.00015004879371782742
31,Nebraska,2,47-3013,Helpers--Electricians,80.0,51930.0,24.97,50550.0,24.31,40330.0,50550.0,54100.0,55870.0,2024,66.6,66.7,0.2,6.8,2.2,4.6,10.2,0.00015004879371782742
32,Nevada,2,47-3013,Helpers--Electricians,480.0,46610.0,22.41,41610.0,20.01,30780.0,37250.0,49550.0,61700.0,2024,66.6,66.7,0.2,6.8,2.2,4.6,10.2,0.00015004879371782742
33,New Hampshire,2,47-3013,Helpers--Electricians,140.0,38170.0,18.35,37980.0,18.26,33350.0,33800.0,37980.0,47640.0,2024,66.6,66.7,0.2,6.8,2.2,4.6,10.2,0.00015004879371782742
34,New Jersey,2,47-3013,Helpers--Electricians,2170.0,42660.0,20.51,39070.0,18.79,34300.0,36950.0,46430.0,48690.0,2024,66.6,66.7,0.2,6.8,2.2,4.6,10.2,0.00015004879371782742
35,New Mexico,2,47-3013,Helpers--Electricians,410.0,40990.0,19.71,39610.0,19.04,30400.0,33610.0,47450.0,49870.0,2024,66.6,66.7,0.2,6.8,2.2,4.6,10.2,0.00015004879371782742
36,New York,2,47-3013,Helpers--Electricians,3690.0,52200.0,25.1,49410.0,23.75,37600.0,43000.0,60990.0,75760.0,2024,66.6,66.7,0.2,6.8,2.2,4.6,10.2,0.00015004879371782742
37,North Carolina,2,47-3013,Helpers--Electricians,6460.0,39140.0,18.82,38270.0,18.4,30160.0,35960.0,44300.0,46630.0,2024,66.6,66.7,0.2,6.8,2.2,4.6,10.2,0.00015004879371782742
39,Ohio,2,47-3013,Helpers--Electricians,820.0,41970.0,20.18,40730.0,19.58,31670.0,35530.0,48160.0,52460.0,2024,66.6,66.7,0.2,6.8,2.2,4.6,10.2,0.00015004879371782742
40,Oklahoma,2,47-3013,Helpers--Electricians,1840.0,43350.0,20.84,44170.0,21.23,31930.0,37700.0,48280.0,53310.0,2024,66.6,66.7,0.2,6.8,2.2,4.6,10.2,0.00015004879371782742
41,Oregon,2,47-3013,Helpers--Electricians,430.0,48350.0,23.25,47020.0,22.6,38620.0,38780.0,54950.0,66930.0,2024,66.6,66.7,0.2,6.8,2.2,4.6,10.2,0.00015004879371782742
42,Pennsylvania,2,47-3013,Helpers--Electricians,1550.0,39100.0,18.8,39490.0,18.99,20180.0,30160.0,47020.0,52730.0,2024,66.6,66.7,0.2,6.8,2.2,4.6,10.2,0.00015004879371782742
44,Rhode Island,2,47-3013,Helpers--Electricians,60.0,56930.0,27.37,60860.0,29.26,37820.0,60860.0,60860.0,71930.0,2024,66.6,66.7,0.2,6.8,2.2,4.6,10.2,0.00015004879371782742
45,South Carolina,2,47-3013,Helpers--Electricians,1880.0,38050.0,18.29,38050.0,18.3,27430.0,33800.0,43510.0,47550.0,2024,66.6,66.7,0.2,6.8,2.2,4.6,10.2,0.00015004879371782742
46,South Dakota,2,47-3013,Helpers--Electricians,340.0,33510.0,16.11,31710.0,15.24,29830.0,29890.0,36400.0,38090.0,2024,66.6,66.7,0.2,6.8,2.2,4.6,10.2,0.00015004879371782742
47,Tennessee,2,47-3013,Helpers--Electricians,2570.0,40550.0,19.49,38720.0,18.62,30600.0,35770.0,45950.0,49150.0,2024,66.6,66.7,0.2,6.8,2.2,4.6,10.2,0.00015004879371782742
48,Texas,2,47-3013,Helpers--Electricians,8170.0,44820.0,21.55,45880.0,22.06,33600.0,37440.0,49900.0,57420.0,2024,66.6,66.7,0.2,6.8,2.2,4.6,10.2,0.00015004879371782742
49,Utah,2,47-3013,Helpers--Electricians,310.0,44500.0,21.4,42120.0,20.25,37610.0,39880.0,49940.0,62050.0,2024,66.6,66.7,0.2,6.8,2.2,4.6,10.2,0.00015004879371782742
50,Vermont,2,47-3013,Helpers--Electricians,150.0,42360.0,20.37,36920.0,17.75,32870.0,36140.0,48360.0,66560.0,2024,66.6,66.7,0.2,6.8,2.2,4.6,10.2,0.00015004879371782742
51,Virginia,2,47-3013,Helpers--Electricians,3140.0,41840.0,20.12,38780.0,18.65,32010.0,36070.0,46610.0,54180.0,2024,66.6,66.7,0.2,6.8,2.2,4.6,10.2,0.00015004879371782742
53,Washington,2,47-3013,Helpers--Electricians,570.0,63520.0,30.54,56020.0,26.93,39670.0,45980.0,79100.0,100840.0,2024,66.6,66.7,0.2,6.8,2.2,4.6,10.2,0.00015004879371782742
54,West Virginia,2,47-3013,Helpers--Electricians,190.0,35450.0,17.04,34780.0,16.72,29920.0,30860.0,37960.0,44080.0,2024,66.6,66.7,0.2,6.8,2.2,4.6,10.2,0.00015004879371782742
55,Wisconsin,2,47-3013,Helpers--Electricians,1130.0,48430.0,23.28,45750.0,21.99,35080.0,37970.0,55660.0,72730.0,2024,66.6,66.7,0.2,6.8,2.2,4.6,10.2,0.00015004879371782742
56,Wyoming,2,47-3013,Helpers--Electricians,,37830.0,18.19,37290.0,17.93,28210.0,37290.0,42640.0,42640.0,2024,66.6,66.7,0.2,6.8,2.2,4.6,10.2,0.00015004879371782742
8,Colorado,2,47-3013,Helpers--Electricians,140.0,41320.0,19.87,34790.0,16.73,33940.0,34610.0,41950.0,64210.0,2024,66.6,66.7,0.2,6.8,2.2,4.6,10.2,0.00015004879371782742
10180,"Abilene, TX",4,47-2111,Electricians,460.0,51200.0,24.62,47500.0,22.84,36010.0,40200.0,60140.0,65620.0,2024,818.7,896.1,9.5,81.0,27.0,46.2,8.5,0.009074354314209776
10380,"Aguadilla, PR",4,47-2111,Electricians,60.0,40040.0,19.25,33810.0,16.26,21580.0,24650.0,52080.0,60760.0,2024,818.7,896.1,9.5,81.0,27.0,46.2,8.5,0.009074354314209776
10420,"Akron, OH",4,47-2111,Electricians,1430.0,74890.0,36.0,74470.0,35.8,38940.0,52280.0,93600.0,120190.0,2024,818.7,896.1,9.5,81.0,27.0,46.2,8.5,0.009074354314209776
10500,"Albany, GA",4,47-2111,Electricians,310.0,58820.0,28.28,59050.0,28.39,36110.0,46310.0,76310.0,77900.0,2024,818.7,896.1,9.5,81.0,27.0,46.2,8.5,0.009074354314209776
10540,"Albany, OR",4,47-2111,Electricians,340.0,91380.0,43.93,95710.0,46.02,54070.0,73990.0,120400.0,120400.0,2024,818.7,896.1,9.5,81.0,27.0,46.2,8.5,0.009074354314209776
10580,"Albany-Schenectady-Troy, NY",4,47-2111,Electricians,1660.0,74820.0,35.97,72820.0,35.01,44520.0,58000.0,96150.0,102620.0,2024,818.7,896.1,9.5,81.0,27.0,46.2,8.5,0.009074354314209776
10740,"Albuquerque, NM",4,47-2111,Electricians,2710.0,59250.0,28.48,57190.0,27.5,36660.0,44320.0,75560.0,80270.0,2024,818.7,896.1,9.5,81.0,27.0,46.2,8.5,0.009074354314209776
10780,"Alexandria, LA",4,47-2111,Electricians,440.0,55950.0,26.9,57010.0,27.41,45170.0,57010.0,57010.0,60060.0,2024,818.7,896.1,9.5,81.0,27.0,46.2,8.5,0.009074354314209776
10900,"Allentown-Bethlehem-Easton, PA-NJ",4,47-2111,Electricians,1140.0,73210.0,35.2,66870.0,32.15,46010.0,52810.0,89210.0,120180.0,2024,818.7,896.1,9.5,81.0,27.0,46.2,8.5,0.009074354314209776
11020,"Altoona, PA",4,47-2111,Electricians,140.0,63830.0,30.69,57150.0,27.48,38130.0,46180.0,73360.0,100140.0,2024,818.7,896.1,9.5,81.0,27.0,46.2,8.5,0.009074354314209776
11100,"Amarillo, TX",4,47-2111,Electricians,670.0,53160.0,25.56,50110.0,24.09,35100.0,38590.0,62200.0,72700.0,2024,818.7,896.1,9.5,81.0,27.0,46.2,8.5,0.009074354314209776
11180,"Ames, IA",4,47-2111,Electricians,220.0,68340.0,32.86,64360.0,30.94,45330.0,49710.0,79730.0,91180.0,2024,818.7,896.1,9.5,81.0,27.0,46.2,8.5,0.009074354314209776
11200,"Amherst Town-Northampton, MA",4,47-2111,Electricians,220.0,76250.0,36.66,79280.0,38.12,45260.0,58790.0,84270.0,100520.0,2024,818.7,896.1,9.5,81.0,27.0,46.2,8.5,0.009074354314209776
11260,"Anchorage, AK",4,47-2111,Electricians,890.0,80290.0,38.6,77830.0,37.42,47180.0,59980.0,97810.0,104190.0,2024,818.7,896.1,9.5,81.0,27.0,46.2,8.5,0.009074354314209776
11460,"Ann Arbor, MI",4,47-2111,Electricians,650.0,78840.0,37.9,82020.0,39.44,46710.0,61260.0,96140.0,101660.0,2024,818.7,896.1,9.5,81.0,27.0,46.2,8.5,0.009074354314209776
11500,"Anniston-Oxford, AL",4,47-2111,Electricians,170.0,54620.0,26.26,52190.0,25.09,36120.0,40500.0,64400.0,70530.0,2024,818.7,896.1,9.5,81.0,27.0,46.2,8.5,0.009074354314209776
11540,"Appleton, WI",4,47-2111,Electricians,840.0,69200.0,33.27,65210.0,31.35,45090.0,54080.0,81810.0,96920.0,2024,818.7,896.1,9.5,81.0,27.0,46.2,8.5,0.009074354314209776
11640,"Arecibo, PR",4,47-2111,Electricians,50.0,41470.0,19.94,34780.0,16.72,22470.0,26650.0,56290.0,64310.0,2024,818.7,896.1,9.5,81.0,27.0,46.2,8.5,0.009074354314209776
11700,"Asheville, NC",4,47-2111,Electricians,860.0,53540.0,25.74,50760.0,24.4,38030.0,46120.0,59940.0,67860.0,2024,818.7,896.1,9.5,81.0,27.0,46.2,8.5,0.009074354314209776
12020,"Athens-Clarke County, GA",4,47-2111,Electricians,380.0,59030.0,28.38,58340.0,28.05,35320.0,45120.0,77310.0,80500.0,2024,818.7,896.1,9.5,81.0,27.0,46.2,8.5,0.009074354314209776
12060,"Atlanta-Sandy Springs-Roswell, GA",4,47-2111,Electricians,12220.0,63680.0,30.62,60400.0,29.04,37220.0,48150.0,77760.0,87180.0,2024,818.7,896.1,9.5,81.0,27.0,46.2,8.5,0.009074354314209776
12100,"Atlantic City-Hammonton, NJ",4,47-2111,Electricians,690.0,71180.0,34.22,62930.0,30.26,43690.0,53570.0,82130.0,116910.0,2024,818.7,896.1,9.5,81.0,27.0,46.2,8.5,0.009074354314209776
12220,"Auburn-Opelika, AL",4,47-2111,Electricians,240.0,54400.0,26.15,49890.0,23.99,36330.0,43930.0,62720.0,72190.0,2024,818.7,896.1,9.5,81.0,27.0,46.2,8.5,0.009074354314209776
12260,"Augusta-Richmond County, GA-SC",4,47-2111,Electricians,910.0,62360.0,29.98,59930.0,28.81,37730.0,46520.0,71760.0,105800.0,2024,818.7,896.1,9.5,81.0,27.0,46.2,8.5,0.009074354314209776
12420,"Austin-Round Rock-San Marcos, TX",4,47-2111,Electricians,6190.0,58740.0,28.24,59040.0,28.38,38270.0,47100.0,70640.0,77330.0,2024,818.7,896.1,9.5,81.0,27.0,46.2,8.5,0.009074354314209776
12540,"Bakersfield-Delano, CA",4,47-2111,Electricians,1350.0,79770.0,38.35,75310.0,36.21,45720.0,58110.0,97740.0,121800.0,2024,818.7,896.1,9.5,81.0,27.0,46.2,8.5,0.009074354314209776
12580,"Baltimore-Columbia-Towson, MD",4,47-2111,Electricians,8050.0,69850.0,33.58,63060.0,30.32,43060.0,48630.0,81440.0,104980.0,2024,818.7,896.1,9.5,81.0,27.0,46.2,8.5,0.009074354314209776
12620,"Bangor, ME",4,47-2111,Electricians,270.0,70120.0,33.71,63680.0,30.62,48920.0,59280.0,75870.0,95310.0,2024,818.7,896.1,9.5,81.0,27.0,46.2,8.5,0.009074354314209776
