variant,career,net_risk,rank,sign_stable
Drop Thinking Creatively...,Electrician,-0.42786391042205,757.0,True
Drop Thinking Creatively...,Writer,0.16871231696813094,231.0,True
Drop Originality...,Software Dev,0.3676787252368648,59.0,True
Drop Originality...,Electrician,-0.4621016365202411,760.0,True
Drop Originality...,Writer,0.1717269595176571,237.0,True
Drop Fluency of Ideas...,Software Dev,0.3713393626184324,59.0,True
Drop Fluency of Ideas...,Electrician,-0.4618863049095607,758.0,True
Drop Fluency of Ideas...,Writer,0.17323428079242026,241.0,True
Drop Working with Compute...,Software Dev,0.3799526270456503,32.0,True
Drop Working with Compute...,Electrician,-0.34474590869939703,725.0,True
Drop Working with Compute...,Writer,0.22071490094745905,152.0,True
Drop Programming...,Software Dev,0.3786606373815676,50.0,True
Drop Programming...,Electrician,-0.4384151593453919,756.0,True
Drop Programming...,Writer,0.14287252368647718,261.0,True
Drop Technology Design...,Software Dev,0.3786606373815676,61.0,True
Drop Technology Design...,Electrician,-0.49849267872523684,765.0,True
Drop Technology Design...,Writer,0.16838931955211023,239.0,True
Drop Interacting With Com...,Software Dev,0.3799526270456503,49.0,True
Drop Interacting With Com...,Electrician,-0.45714900947459086,761.0,True
Drop Interacting With Com...,Writer,0.17000430663221355,235.0,True
Norm: zscore,Software Dev,0.41030960539549505,49.0,True
Norm: zscore,Electrician,-0.45290062089807614,756.0,True
Norm: zscore,Writer,0.22804504737755554,196.0,True
Norm: minmax,Software Dev,0.41930553207065846,2.0,True
Norm: minmax,Electrician,-0.28963053474801426,732.0,True
Norm: minmax,Writer,0.12960155850340266,212.0,True
Norm: rank_within_group,Software Dev,0.2857142857142857,103.5,True
Norm: rank_within_group,Electrician,-0.08045977011494254,483.0,True
Norm: rank_within_group,Writer,0.2941176470588236,96.0,True
